85353,"Bulgaria: Supreme Court shuts down smartphone car service Uber ","127578,128226,128319,132779,132972,132999,133835,133855,134229,134251,134460,134461,134847,134958,134963,134964"
561,Observatories,"561,102010,155834",04:20:07
594,"Work programmes","594,99107,99142,99145,99154,99197,133682,142089,142886,150892,150896,150898,150899,155650",04:20:08
613,"European Industrial Relations Dictionary - Industrial relations context","613,99401,99404,99406,99415,99416,99494,121910,121924,122155,122161,122164,122726,122727",04:20:09
616,"About EMCC","616,113864,113865,120478",04:20:11
623,"European Industrial Relations Dictionary - Institutional framework","623,121926,121933,121940,122168,122170,122213,122214,122216,122217",04:20:12
955,"EurWORK: Industrial relations links","1114,99377,100094,100095",04:20:13
984,"Case studies","1164,100223,106225",04:20:14
1003,Vacancies,"1186,100100,102984,104979,105014,105041,105043,105048,106325,106332,106343,106356,106370,106383,106459,106460,106461,106462,106464,106465,106466,106467,106468,106760,106762,106805,108529,112913,112914,112918,115504,115806,115808,125402,125403,125405,125406,125786,125906,125908,125909,125912,125917,125920,128070,128071,129730,129732,129734,129737,129739,129746,129769,133395,133556,133557,133562,134552,137186,137187,137189,137192,137405,137407,137408,137409,138231,138232,138659,138660,141635,141636,141637,141638,141640,141643,142087,143891,143892,144870,147903,147909,147911,147912,147946,147947,147949,147952,147953,147954,147957,147959,147961,148059,149939,149940,149942,149948,150820,150823,150830,150846,150850,150865,150867,150885,150972,151124,151125,151126,151532,151554,151556,152403,152404,152406,152609,152610,154988,155314",04:20:14
561,Observatories,"561,102010,155834",04:21:33
594,"Work programmes","594,99107,99142,99145,99154,99197,133682,142089,142886,150892,150896,150898,150899,155650",04:21:33
613,"European Industrial Relations Dictionary - Industrial relations context","613,99401,99404,99406,99415,99416,99494,121910,121924,122155,122161,122164,122726,122727",04:21:35
616,"About EMCC","616,113864,113865,120478",04:21:37
623,"European Industrial Relations Dictionary - Institutional framework","623,121926,121933,121940,122168,122170,122213,122214,122216,122217",04:21:37
955,"EurWORK: Industrial relations links","1114,99377,100094,100095",04:21:39
984,"Case studies","1164,100223,106225",04:21:39
1003,Vacancies,"1186,100100,102984,104979,105014,105041,105043,105048,106325,106332,106343,106356,106370,106383,106459,106460,106461,106462,106464,106465,106466,106467,106468,106760,106762,106805,108529,112913,112914,112918,115504,115806,115808,125402,125403,125405,125406,125786,125906,125908,125909,125912,125917,125920,128070,128071,129730,129732,129734,129737,129739,129746,129769,133395,133556,133557,133562,134552,137186,137187,137189,137192,137405,137407,137408,137409,138231,138232,138659,138660,141635,141636,141637,141638,141640,141643,142087,143891,143892,144870,147903,147909,147911,147912,147946,147947,147949,147952,147953,147954,147957,147959,147961,148059,149939,149940,149942,149948,150820,150823,150830,150846,150850,150865,150867,150885,150972,151124,151125,151126,151532,151554,151556,152403,152404,152406,152609,152610,154988,155314",04:21:39
1019,"European Restructuring Monitor","1202,1389,99905,99936,99937,99948,106671,106673,106674,106676,106678,106919,113866,116286,121608,126146,134636,135105,135226,135275,135376,138594,140702,147338,147339,152926",04:22:05
1023,"Case studies","1206,102686,102738,103287",04:22:08
1048,"Health and well-being at work","1233,101809,107592,107594,107634,107645,108805,108808,112760,113636,115285,116735,116736,116737,116738,116741,116742,116935,116936,123252,123254,123255,123256,123257,123275,123543,123544,123545,123546,123548,123549,123550,123551,123553,123555,123556,135848,138858,138859,138860,138861,138864,138865,138867,150516,150518,150527,152934",04:22:09
1147,"Actors and institutions","1369,99802,99803,99804,99805,101019,101020,107570,114476,116058,116060,116740,116925,116926,116927,135831,135842,138419,138420,147152,150509,150510,154264,155549,155552",04:22:29
1151,"Collective employment relations","1374,102672,102673,102679,102680,103998,107584,108601,108607,108614,112195,112197,112199,115268,115928,116734,116931,123185,123188,123250,123251,135833,135841,138426,138427,138430,138433,138435,147153,147728,147729,151216,151218,155555,155556",04:22:42
