"name"	"key"	"theme"
"Business change"	"UF: Industrial change
UF: Organisational change"	"BUSINESS"
"Business restructuring"	"UF: Company restructures
UF: Company restructuring
UF: Corporate restructuring
UF: Restructuring"	"BUSINESS"
"Bankruptcy"	"RT: Business closure 
RT: Insolvency"	"BUSINESS"
"Business closure"	"RT: Bankruptcy 
RT: Insolvency"	"BUSINESS"
"Business expansion"	"RT: Company growth"	"BUSINESS"
"Insolvency"	"RT: Bankruptcy 
RT: Business closure 
RT: Business survival"	"BUSINESS"
"Internal restructuring"		"BUSINESS"
"Mergers and acquisitions"	"UF: Acquisitions
UF: Company takeovers
UF: M and A
UF: Takeovers"	"BUSINESS"
"Offshoring"	"UF: Delocalisation 
RT: Outsourcing"	"BUSINESS"
"Outsourcing"	"UF: Contracting out 
RT: Offshoring"	"BUSINESS"
"Relocation"		"BUSINESS"
"Business transfers"	"UF: Business succession"	"BUSINESS"
"Privatisation"		"BUSINESS"
"Business creation"	"UF: Entreprise creation 
RT: Business start ups 
RT: Entrepreneurship"	"BUSINESS"
"Business ethics"		"BUSINESS"
"Business support"	"UF: Enterprise support
UF: Start-up support"	"BUSINESS"
"Business survival"	"RT: Insolvency"	"BUSINESS"
"Company growth"	"RT: Business expansion 
RT: Economic growth"	"BUSINESS"
"Competitiveness"		"BUSINESS"
"Corporate governance"		"BUSINESS"
"Corporate social responsibility"	"UF: CSR 
RT: Sustainable development"	"BUSINESS"
"Enterprises"	"UF: Businesses
UF: Companies
UF: Firms"	"BUSINESS"
"Business start ups"	"UF: New businesses 
RT: Business creation 
RT: Entrepreneurship"	"BUSINESS"
"Cooperatives"		"BUSINESS"
"European companies"		"BUSINESS"
"European Private Companies"		"BUSINESS"
"Multi-national companies"	"UF: MNCs
UF: Transnational enterprises"	"BUSINESS"
"Public-private partnerships"		"BUSINESS"
"Small and medium-sized enterprises"	"UF: Small and medium entreprises
UF: SMEs 
RT: Entrepreneurship"	"BUSINESS"
"Micro enterprises"		"BUSINESS"
"One-person enterprises"		"BUSINESS"
"Entrepreneurship"	"RT: Business creation 
RT: Business start ups 
RT: Small and medium-sized enterprises"	"BUSINESS"
"Free movement of goods"		"BUSINESS"
"Globalisation"		"BUSINESS"
"Innovation"		"BUSINESS"
"Internationalisation"		"BUSINESS"
"Agreements"		"INDUSTRIAL RELATIONS"
"Autonomous agreements"	"UF: Voluntary agreements"	"INDUSTRIAL RELATIONS"
"Collective agreements"	"RT: Pay settlements"	"INDUSTRIAL RELATIONS"
"Multi-sector agreements"		"INDUSTRIAL RELATIONS"
"Arbitration"		"INDUSTRIAL RELATIONS"
"Change management"	"UF: Management of change"	"INDUSTRIAL RELATIONS"
"Collective bargaining"	"RT: Social dialogue"	"INDUSTRIAL RELATIONS"
"Decentralisation"		"INDUSTRIAL RELATIONS"
"Conciliation"		"INDUSTRIAL RELATIONS"
"Dispute resolution"	"RT: Labour disputes"	"INDUSTRIAL RELATIONS"
"Employee representation"	"UF: Workers' representation 
RT: Trade unions"	"INDUSTRIAL RELATIONS"
"Works councils"		"INDUSTRIAL RELATIONS"
"European Works Councils"		"INDUSTRIAL RELATIONS"
