Key,"Value"
countryEU,"EU28"
countryAT,"Austria_ES"
countryBE,"Belgium_ES"
countryBG,"Bulgaria_ES"
countryHR,"Croatia_ES"
countryCY,"Cyprus_ES"
countryCZ,"Czech Republic_ES"
countryDA,"Denmark_ES"
countryET,"Estonia_ES"
countryFI,"Finland_ES"
countryFR,"France_ES"
countryDE,"Germany_ES"
countryGR,"Greece_ES"
countryHU,"Hungary_ES"
countryIE,"Ireland_ES"
countryIT,"Italy_ES"
countryLV,"Latvia_ES"
countryLT,"Lithuania_ES"
countryLU,"Luxembourg_ES"
countryMT,"Malta_ES"
countryNL,"Netherlands_ES"
countryPL,"Poland_ES"
countryPT,"Portugal_ES"
countryRO,"Romania_ES"
countrySK,"Slovakia_ES"
countrySL,"Slovenia_ES"
countryES,"Spain_ES"
countrySE,"Sweden_ES"
countryUK,"United Kingdom_ES"
LabelFilters,"Filters:_ES"
LabelData,"Data:_ES"
LabelGroup,"Group:_ES"
LabelGender,"Gender:_ES"
LabelSort,"Sort:_ES"
happiness_legend1,"Average rating on scale (1-10), 2011_ES"
happiness_legend2,"Average rating on scale (1-10), 2016_ES"
happiness_legend3,"Average rating on scale (1-10), 2011_ES"
happiness_legend4,"Average rating on scale (1-10), 2016_ES"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_ES"
happiness_sortOption1,"Alphabetically ascending_ES"
happiness_sortOption2,"By Happiness 2016 descending_ES"
happiness_sortOption3,"By Life Satisfaction 2016 descending_ES"
optimism_legend1,"I am optimistic about my future (%) - 2016_ES"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_ES"
optimism_filter_group1,"All_ES"
optimism_filter_group2,"Lowest income quartile_ES"
optimism_filter_group3,"Unemployed_ES"
optimism_filter_group4,"Employed_ES"
optimism_filter_group5,"Age 18-34_ES"
optimism_filter_group6,"Age 35-64_ES"
optimism_filter_group7,"Age 65+_ES"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_ES"
optimism_sortOption1,"By own future 2016 descending_ES"
optimism_sortOption2,"By (grand)children's future 2016 descending_ES"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_ES"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_ES"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_ES"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_ES"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_ES"
work-life-balance_1_filter_group1,"All_ES"
work-life-balance_1_filter_group2,"Lowest income quartile_ES"
work-life-balance_1_filter_group3,"Age 18-64_ES"
work-life-balance_1_filter_gender1,"All_ES"
work-life-balance_1_filter_gender2,"Female_ES"
work-life-balance_1_filter_gender3,"Male_ES"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_ES"
work-life-balance_1_sortOption1,"By 2007 value descending_ES"
work-life-balance_1_sortOption2,"By 2016 value descending_ES"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_ES"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_ES"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_ES"
tensions_filter_data1,"Poor and rich_ES"
tensions_filter_data2,"Management and workers_ES"
tensions_filter_data3,"Men and women_ES"
tensions_filter_data4,"Old and young_ES"
tensions_filter_data5,"Different racial and ethnic groups_ES"
tensions_filter_data6,"Different religious groups_ES"
tensions_filter_data7,"People with different sexual orientations_ES"
tensions_filter_group1,"All_ES"
tensions_filter_group2,"Lowest income quartile_ES"
tensions_filter_group3,"Highest income quartile_ES"
tensions_filter_group4,"People who are satisfied with democracy_ES"
tensions_filter_group5,"Age 18-34_ES"
tensions_filter_group6,"Age 35-64_ES"
tensions_filter_group7,"Age 65+_ES"
tensions_sortOptionDefault,"Alphabetically ascending _ES"
tensions_sortOption1,"By 2007 value descending_ES"
tensions_sortOption2,"By 2011 value descending_ES"
tensions_sortOption3,"By 2016 value descending_ES"
social-excl_legend1,"(%) - 2007_ES"
social-excl_legend2,"(%) - 2016_ES"
social-excl_filter_data1,"I feel left out of society _ES"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_ES"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_ES"
social-excl_filter_data4,"Some people look down on me because of my job situation_ES"
social-excl_filter_group1,"All_ES"
social-excl_filter_group2,"Lowest income quartile_ES"
social-excl_filter_group3,"Highest income quartile_ES"
social-excl_filter_group4,"Unemployed_ES"
social-excl_filter_group5,"Employed_ES"
social-excl_sortOptionDefault,"Alphabetically ascending _ES"
social-excl_sortOption1,"By 2007 value descending_ES"
social-excl_sortOption2,"By 2016 value descending_ES"
overall-improv_legend1,"Average rating on scale 1-10, 2011_ES"
overall-improv_legend2,"Average rating on scale 1-10, 2016_ES"
overall-improv_filter_group1,"Health services_ES"
overall-improv_filter_group2,"Education system_ES"
overall-improv_filter_group3,"Public transport_ES"
overall-improv_filter_group4,"Childcare services_ES"
overall-improv_filter_group5,"Long-term care services_ES"
overall-improv_filter_group6,"Social housing_ES"
overall-improv_filter_group7,"State pension system_ES"
overall-improv_sortOptionDefault,"Alphabetically ascending_ES"
overall-improv_sortOption1,"By 2011 value descending_ES"
overall-improv_sortOption2,"By 2016 value descending_ES"
liv-depr-optim_legend1,"Optimistic about own future - 2016_ES"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_ES"
liv-depr-optim_filter_group1,"All_ES"
liv-depr-optim_filter_group2,"Lowest income quartile_ES"
liv-depr-optim_filter_group3,"Unemployed_ES"
liv-depr-optim_filter_group4,"Employed_ES"
liv-depr-optim_filter_group5,"Age 18-34_ES"
liv-depr-optim_filter_group6,"Age 35-64_ES"
liv-depr-optim_filter_group7,"Age 65+_ES"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_ES"
liv-depr-optim_sortOption1,"By own future 2016 descending_ES"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_ES"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_ES"
liv-depr-stdliving_legend2,"Satisfaction with standard of living (1-10) - 2016_ES"
liv-depr-stdliving_filter_group1,"All_ES"
liv-depr-stdliving_filter_group2,"Lowest income quartile_ES"
liv-depr-stdliving_filter_group3,"Highest income quartile_ES"
liv-depr-stdliving_filter_group4,"Unemployed_ES"
liv-depr-stdliving_filter_group5,"Age 18-34_ES"
liv-depr-stdliving_filter_group6,"Age 35-64_ES"
liv-depr-stdliving_filter_group7,"Age 65+_ES"
liv-depr-stdliving_sortOptionDefault,"Alphabetically ascending_ES"
liv-depr-stdliving_sortOption1,"By 2007 value descending_ES"
liv-depr-stdliving_sortOption2,"By 2016 value descending_ES"
liv-depr-makeendmeet_legend1,"Difficulty levels (%) - 2011_ES"
liv-depr-makeendmeet_legend2,"Difficulty levels (%) - 2016_ES"
liv-depr-makeendmeet_filter_group1,"All_ES"
liv-depr-makeendmeet_filter_group2,"Lowest income quartile_ES"
liv-depr-makeendmeet_filter_group3,"Highest income quartile_ES"
liv-depr-makeendmeet_filter_group4,"Unemployed_ES"
liv-depr-makeendmeet_filter_group5,"Long-term unemployed_ES"
liv-depr-makeendmeet_filter_group6,"Age 18-34_ES"
liv-depr-makeendmeet_filter_group7,"Age 35-64_ES"
liv-depr-makeendmeet_filter_group8,"Age 65+_ES"
liv-depr-makeendmeet_sortOptionDefault,"Alphabetically ascending_ES"
liv-depr-makeendmeet_sortOption1,"By 2011 value descending_ES"
liv-depr-makeendmeet_sortOption2,"By 2016 value descending_ES"
liv-depr-economising_legend1,"% Who say Yes to selected modality - 2016_ES"
