Key,"Value"
countryEU,"EU28_EE"
countryAT,"Austria_EE"
countryBE,"Belgium_EE"
countryBG,"Bulgaria_EE"
countryHR,"Croatia_EE"
countryCY,"Cyprus_EE"
countryCZ,"Czech Republic_EE"
countryDA,"Denmark_EE"
countryET,"Estonia_EE"
countryFI,"Finland_EE"
countryFR,"France_EE"
countryDE,"Germany_EE"
countryGR,"Greece_EE"
countryHU,"Hungary_EE"
countryIE,"Ireland_EE"
countryIT,"Italy_EE"
countryLV,"Latvia_EE"
countryLT,"Lithuania_EE"
countryLU,"Luxembourg_EE"
countryMT,"Malta_EE"
countryNL,"Netherlands_EE"
countryPL,"Poland_EE"
countryPT,"Portugal_EE"
countryRO,"Romania_EE"
countrySK,"Slovakia_EE"
countrySL,"Slovenia_EE"
countryES,"Spain_EE"
countrySE,"Sweden_EE"
countryUK,"United Kingdom_EE"
LabelFilters,"Filters:_EE"
LabelData,"Data:_EE"
LabelGroup,"Group:_EE"
LabelGender,"Gender:_EE"
LabelSort,"Sort:_EE"
happiness_legend1,"Average rating on scale (1-10), 2011_EE"
happiness_legend2,"Average rating on scale (1-10), 2016_EE"
happiness_legend3,"Average rating on scale (1-10), 2011_EE"
happiness_legend4,"Average rating on scale (1-10), 2016_EE"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_EE"
happiness_sortOption1,"Alphabetically ascending_EE"
happiness_sortOption2,"By Happiness 2016 descending_EE"
happiness_sortOption3,"By Life Satisfaction 2016 descending_EE"
optimism_legend1,"I am optimistic about my future (%) - 2016_EE"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_EE"
optimism_filter_group1,"All_EE"
optimism_filter_group2,"Lowest income quartile_EE"
optimism_filter_group3,"Unemployed_EE"
optimism_filter_group4,"Employed_EE"
optimism_filter_group5,"Age 18-34_EE"
optimism_filter_group6,"Age 35-64_EE"
optimism_filter_group7,"Age 65+_EE"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_EE"
optimism_sortOption1,"By own future 2016 descending_EE"
optimism_sortOption2,"By (grand)children's future 2016 descending_EE"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_EE"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_EE"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_EE"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_EE"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_EE"
work-life-balance_1_filter_group1,"All_EE"
work-life-balance_1_filter_group2,"Lowest income quartile_EE"
work-life-balance_1_filter_group3,"Age 18-64_EE"
work-life-balance_1_filter_gender1,"All_EE"
work-life-balance_1_filter_gender2,"Female_EE"
work-life-balance_1_filter_gender3,"Male_EE"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_EE"
work-life-balance_1_sortOption1,"By 2007 value descending_EE"
work-life-balance_1_sortOption2,"By 2016 value descending_EE"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_EE"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_EE"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_EE"
tensions_filter_data1,"Poor and rich_EE"
tensions_filter_data2,"Management and workers_EE"
tensions_filter_data3,"Men and women_EE"
tensions_filter_data4,"Old and young_EE"
tensions_filter_data5,"Different racial and ethnic groups_EE"
tensions_filter_data6,"Different religious groups_EE"
tensions_filter_data7,"People with different sexual orientations_EE"
tensions_filter_group1,"All_EE"
tensions_filter_group2,"Lowest income quartile_EE"
tensions_filter_group3,"Highest income quartile_EE"
tensions_filter_group4,"People who are satisfied with democracy_EE"
tensions_filter_group5,"Age 18-34_EE"
tensions_filter_group6,"Age 35-64_EE"
tensions_filter_group7,"Age 65+_EE"
tensions_sortOptionDefault,"Alphabetically ascending _EE"
tensions_sortOption1,"By 2007 value descending_EE"
tensions_sortOption2,"By 2011 value descending_EE"
tensions_sortOption3,"By 2016 value descending_EE"
social-excl_legend1,"(%) - 2007_EE"
social-excl_legend2,"(%) - 2016_EE"
social-excl_filter_data1,"I feel left out of society _EE"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_EE"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_EE"
social-excl_filter_data4,"Some people look down on me because of my job situation_EE"
social-excl_filter_group1,"All_EE"
social-excl_filter_group2,"Lowest income quartile_EE"
social-excl_filter_group3,"Highest income quartile_EE"
social-excl_filter_group4,"Unemployed_EE"
social-excl_filter_group5,"Employed_EE"
social-excl_sortOptionDefault,"Alphabetically ascending _EE"
social-excl_sortOption1,"By 2007 value descending_EE"
social-excl_sortOption2,"By 2016 value descending_EE"
overall-improv_legend1,"Average rating on scale 1-10, 2011_EE"
overall-improv_legend2,"Average rating on scale 1-10, 2016_EE"
overall-improv_filter_group1,"Health services_EE"
overall-improv_filter_group2,"Education system_EE"
overall-improv_filter_group3,"Public transport_EE"
overall-improv_filter_group4,"Childcare services_EE"
overall-improv_filter_group5,"Long-term care services_EE"
overall-improv_filter_group6,"Social housing_EE"
overall-improv_filter_group7,"State pension system_EE"
overall-improv_sortOptionDefault,"Alphabetically ascending_EE"
overall-improv_sortOption1,"By 2011 value descending_EE"
overall-improv_sortOption2,"By 2016 value descending_EE"
liv-depr-optim_legend1,"Optimistic about own future - 2016_EE"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_EE"
liv-depr-optim_filter_group1,"All_EE"
liv-depr-optim_filter_group2,"Lowest income quartile_EE"
liv-depr-optim_filter_group3,"Unemployed_EE"
liv-depr-optim_filter_group4,"Employed_EE"
liv-depr-optim_filter_group5,"Age 18-34_EE"
liv-depr-optim_filter_group6,"Age 35-64_EE"
liv-depr-optim_filter_group7,"Age 65+_EE"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_EE"
liv-depr-optim_sortOption1,"By own future 2016 descending_EE"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_EE"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_EE"
liv-depr-stdliving_legend2,"Satisfaction with standard of living (1-10) - 2016_EE"
liv-depr-stdliving_filter_group1,"All_EE"
liv-depr-stdliving_filter_group2,"Lowest income quartile_EE"
liv-depr-stdliving_filter_group3,"Highest income quartile_EE"
liv-depr-stdliving_filter_group4,"Unemployed_EE"
liv-depr-stdliving_filter_group5,"Age 18-34_EE"
liv-depr-stdliving_filter_group6,"Age 35-64_EE"
liv-depr-stdliving_filter_group7,"Age 65+_EE"
liv-depr-stdliving_sortOptionDefault,"Alphabetically ascending_EE"
liv-depr-stdliving_sortOption1,"By 2007 value descending_EE"
liv-depr-stdliving_sortOption2,"By 2016 value descending_EE"
liv-depr-makeendmeet_legend1,"Difficulty levels (%) - 2011_EE"
liv-depr-makeendmeet_legend2,"Difficulty levels (%) - 2016_EE"
liv-depr-makeendmeet_filter_group1,"All_EE"
liv-depr-makeendmeet_filter_group2,"Lowest income quartile_EE"
liv-depr-makeendmeet_filter_group3,"Highest income quartile_EE"
liv-depr-makeendmeet_filter_group4,"Unemployed_EE"
liv-depr-makeendmeet_filter_group5,"Long-term unemployed_EE"
liv-depr-makeendmeet_filter_group6,"Age 18-34_EE"
liv-depr-makeendmeet_filter_group7,"Age 35-64_EE"
liv-depr-makeendmeet_filter_group8,"Age 65+_EE"
liv-depr-makeendmeet_sortOptionDefault,"Alphabetically ascending_EE"
liv-depr-makeendmeet_sortOption1,"By 2011 value descending_EE"
liv-depr-makeendmeet_sortOption2,"By 2016 value descending_EE"
liv-depr-economising_legend1,"% Who say Yes to selected modality - 2016_EE"
liv-depr-economising_filter_data1,"Go without fresh fruit and vegetables_EE"
liv-depr-economising_filter_data2,"Buy cheaper cuts of meat or less meat_EE"
liv-depr-economising_filter_data3,"Do not go or delay doctor visits_EE"
liv-depr-economising_filter_data4,"Do not go or delay visits to the dentist_EE"
liv-depr-economising_filter_group1,"All_EE"
liv-depr-economising_filter_group2,"Lowest income quartile_EE"
liv-depr-economising_filter_group3,"Highest income quartile_EE"
liv-depr-economising_filter_group4,"People who struggle to make ends meet_EE"
liv-depr-economising_filter_group5,"Age 18-34_EE"
liv-depr-economising_filter_group6,"Age 35-64_EE"
liv-depr-economising_filter_group7,"Age 65+_EE"
liv-depr-economising_sortOptionDefault,"Alphabetically ascending_EE"
liv-depr-economising_sortOption1,"By 2016 value descending_EE"
work-life-balance_2_legend1,"At least several times a week (%) - 2016_EE"
work-life-balance_2_filter_data1,"Frequency caring for and/or educating your children_EE"
work-life-balance_2_filter_data2,"Frequency caring for and/or educating your grandchildren_EE"
work-life-balance_2_filter_data3,"Frequency cooking and/or housework_EE"
work-life-balance_2_filter_data4,"Frequency caring for disabled or infirm family members, meighbours or friends under 75 years old_EE"
work-life-balance_2_filter_data5,"Frequency caring for disabled or infirm family members, meighbours or friends aged 75 or over_EE"
work-life-balance_2_filter_group1,"All_EE"
work-life-balance_2_filter_group2,"Lowest income quartile_EE"
work-life-balance_2_filter_group3,"Employed_EE"
work-life-balance_2_filter_group4,"Unemployed_EE"
work-life-balance_2_filter_group5,"Age 18-64_EE"
work-life-balance_2_filter_group6,"Male_EE"
work-life-balance_2_filter_group7,"Female_EE"
work-life-balance_2_sortOptionDefault,"Alphabetically ascending _EE"
work-life-balance_2_sortOption1,"By 2016 value descending_EE"
quality-dim-GP_legend1,"Having difficulties to afford following health services (%) - 2016_EE"
quality-dim-GP_filter_group1,"Afford GP, family doctor or health centre services_EE"
quality-dim-GP_filter_group2,"Afford dental care_EE"
quality-dim-GP_filter_group3,"Afford psychologist, psychiatrist or other mental health services_EE"
quality-dim-GP_filter_group4,"Afford emergency healthcare_EE"
quality-dim-GP_filter_group5,"Afford other hospital or specialist services_EE"
quality-dim-GP_sortOptionDefault,"Alphabetically ascending_EE"
quality-dim-GP_sortOption1,"By 2016 value descending_EE"
internet-society_legend1,"(%) level of participation - 2011_EE"
internet-society_legend2,"(%) level of participation - 2016_EE"
internet-society_filter_data1,"Use of the internet other than work_EE"
internet-society_filter_data2,"Used online banking facilities in last 12 months_EE"
internet-society_filter_data3,"Used any online facility of public administration in last 12 months_EE"
internet-society_filter_group1,"Male_EE"
internet-society_filter_group2,"Female_EE"
internet-society_filter_group3,"Age 18-34_EE"
internet-society_filter_group4,"Age 35-64_EE"
internet-society_filter_group5,"Age 65-74_EE"
internet-society_filter_group6,"Age 75+_EE"
internet-society_sortOptionDefault,"Alphabetically ascending_EE"
internet-society_sortOption1,"By 2011 value descending_EE"
internet-society_sortOption2,"By 2016 value descending_EE"
