Key,"Value"
countryEU,"EU28_FI"
countryAT,"Austria_FI"
countryBE,"Belgium_FI"
countryBG,"Bulgaria_FI"
countryHR,"Croatia_FI"
countryCY,"Cyprus_FI"
countryCZ,"Czech Republic_FI"
countryDA,"Denmark_FI"
countryET,"Estonia_FI"
countryFI,"Finland_FI"
countryFR,"France_FI"
countryDE,"Germany_FI"
countryGR,"Greece_FI"
countryHU,"Hungary_FI"
countryIE,"Ireland_FI"
countryIT,"Italy_FI"
countryLV,"Latvia_FI"
countryLT,"Lithuania_FI"
countryLU,"Luxembourg_FI"
countryMT,"Malta_FI"
countryNL,"Netherlands_FI"
countryPL,"Poland_FI"
countryPT,"Portugal_FI"
countryRO,"Romania_FI"
countrySK,"Slovakia_FI"
countrySL,"Slovenia_FI"
countryES,"Spain_FI"
countrySE,"Sweden_FI"
countryUK,"United Kingdom_FI"
LabelFilters,"Filters:_FI"
LabelData,"Data:_FI"
LabelGroup,"Group:_FI"
LabelGender,"Gender:_FI"
LabelSort,"Sort:_FI"
happiness_legend1,"Average rating on scale (1-10), 2011_FI"
happiness_legend2,"Average rating on scale (1-10), 2016_FI"
happiness_legend3,"Average rating on scale (1-10), 2011_FI"
happiness_legend4,"Average rating on scale (1-10), 2016_FI"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_FI"
happiness_sortOption1,"Alphabetically ascending_FI"
happiness_sortOption2,"By Happiness 2016 descending_FI"
happiness_sortOption3,"By Life Satisfaction 2016 descending_FI"
optimism_legend1,"I am optimistic about my future (%) - 2016_FI"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_FI"
optimism_filter_group1,"All_FI"
optimism_filter_group2,"Lowest income quartile_FI"
optimism_filter_group3,"Unemployed_FI"
optimism_filter_group4,"Employed_FI"
optimism_filter_group5,"Age 18-34_FI"
optimism_filter_group6,"Age 35-64_FI"
optimism_filter_group7,"Age 65+_FI"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_FI"
optimism_sortOption1,"By own future 2016 descending_FI"
optimism_sortOption2,"By (grand)children's future 2016 descending_FI"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_FI"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_FI"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_FI"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_FI"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_FI"
work-life-balance_1_filter_group1,"All_FI"
work-life-balance_1_filter_group2,"Lowest income quartile_FI"
work-life-balance_1_filter_group3,"Age 18-64_FI"
work-life-balance_1_filter_gender1,"All_FI"
work-life-balance_1_filter_gender2,"Female_FI"
work-life-balance_1_filter_gender3,"Male_FI"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_FI"
work-life-balance_1_sortOption1,"By 2007 value descending_FI"
work-life-balance_1_sortOption2,"By 2016 value descending_FI"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_FI"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_FI"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_FI"
tensions_filter_data1,"Poor and rich_FI"
tensions_filter_data2,"Management and workers_FI"
tensions_filter_data3,"Men and women_FI"
tensions_filter_data4,"Old and young_FI"
tensions_filter_data5,"Different racial and ethnic groups_FI"
tensions_filter_data6,"Different religious groups_FI"
tensions_filter_data7,"People with different sexual orientations_FI"
tensions_filter_group1,"All_FI"
tensions_filter_group2,"Lowest income quartile_FI"
tensions_filter_group3,"Highest income quartile_FI"
tensions_filter_group4,"People who are satisfied with democracy_FI"
tensions_filter_group5,"Age 18-34_FI"
tensions_filter_group6,"Age 35-64_FI"
tensions_filter_group7,"Age 65+_FI"
tensions_sortOptionDefault,"Alphabetically ascending _FI"
tensions_sortOption1,"By 2007 value descending_FI"
tensions_sortOption2,"By 2011 value descending_FI"
tensions_sortOption3,"By 2016 value descending_FI"
social-excl_legend1,"(%) - 2007_FI"
social-excl_legend2,"(%) - 2016_FI"
social-excl_filter_data1,"I feel left out of society _FI"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_FI"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_FI"
social-excl_filter_data4,"Some people look down on me because of my job situation_FI"
social-excl_filter_group1,"All_FI"
social-excl_filter_group2,"Lowest income quartile_FI"
social-excl_filter_group3,"Highest income quartile_FI"
social-excl_filter_group4,"Unemployed_FI"
social-excl_filter_group5,"Employed_FI"
social-excl_sortOptionDefault,"Alphabetically ascending _FI"
social-excl_sortOption1,"By 2007 value descending_FI"
social-excl_sortOption2,"By 2016 value descending_FI"
overall-improv_legend1,"Average rating on scale 1-10, 2011_FI"
overall-improv_legend2,"Average rating on scale 1-10, 2016_FI"
overall-improv_filter_group1,"Health services_FI"
overall-improv_filter_group2,"Education system_FI"
overall-improv_filter_group3,"Public transport_FI"
overall-improv_filter_group4,"Childcare services_FI"
overall-improv_filter_group5,"Long-term care services_FI"
overall-improv_filter_group6,"Social housing_FI"
overall-improv_filter_group7,"State pension system_FI"
overall-improv_sortOptionDefault,"Alphabetically ascending_FI"
overall-improv_sortOption1,"By 2011 value descending_FI"
overall-improv_sortOption2,"By 2016 value descending_FI"
liv-depr-optim_legend1,"Optimistic about own future - 2016_FI"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_FI"
liv-depr-optim_filter_group1,"All_FI"
liv-depr-optim_filter_group2,"Lowest income quartile_FI"
liv-depr-optim_filter_group3,"Unemployed_FI"
liv-depr-optim_filter_group4,"Employed_FI"
liv-depr-optim_filter_group5,"Age 18-34_FI"
liv-depr-optim_filter_group6,"Age 35-64_FI"
liv-depr-optim_filter_group7,"Age 65+_FI"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_FI"
liv-depr-optim_sortOption1,"By own future 2016 descending_FI"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_FI"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_FI"
