Key,"Value"
countryEU,"EU28_FR"
countryAT,"Austria_FR"
countryBE,"Belgium_FR"
countryBG,"Bulgaria_FR"
countryHR,"Croatia_FR"
countryCY,"Cyprus_FR"
countryCZ,"Czech Republic_FR"
countryDA,"Denmark_FR"
countryET,"Estonia_FR"
countryFI,"Finland_FR"
countryFR,"France_FR"
countryDE,"Germany_FR"
countryGR,"Greece_FR"
countryHU,"Hungary_FR"
countryIE,"Ireland_FR"
countryIT,"Italy_FR"
countryLV,"Latvia_FR"
countryLT,"Lithuania_FR"
countryLU,"Luxembourg_FR"
countryMT,"Malta_FR"
countryNL,"Netherlands_FR"
countryPL,"Poland_FR"
countryPT,"Portugal_FR"
countryRO,"Romania_FR"
countrySK,"Slovakia_FR"
countrySL,"Slovenia_FR"
countryES,"Spain_FR"
countrySE,"Sweden_FR"
countryUK,"United Kingdom_FR"
LabelFilters,"Filters:_FR"
LabelData,"Data:_FR"
LabelGroup,"Group:_FR"
LabelGender,"Gender:_FR"
LabelSort,"Sort:_FR"
happiness_legend1,"Average rating on scale (1-10), 2011_FR"
happiness_legend2,"Average rating on scale (1-10), 2016_FR"
happiness_legend3,"Average rating on scale (1-10), 2011_FR"
happiness_legend4,"Average rating on scale (1-10), 2016_FR"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_FR"
happiness_sortOption1,"Alphabetically ascending_FR"
happiness_sortOption2,"By Happiness 2016 descending_FR"
happiness_sortOption3,"By Life Satisfaction 2016 descending_FR"
optimism_legend1,"I am optimistic about my future (%) - 2016_FR"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_FR"
optimism_filter_group1,"All_FR"
optimism_filter_group2,"Lowest income quartile_FR"
optimism_filter_group3,"Unemployed_FR"
optimism_filter_group4,"Employed_FR"
optimism_filter_group5,"Age 18-34_FR"
optimism_filter_group6,"Age 35-64_FR"
optimism_filter_group7,"Age 65+_FR"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_FR"
optimism_sortOption1,"By own future 2016 descending_FR"
optimism_sortOption2,"By (grand)children's future 2016 descending_FR"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_FR"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_FR"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_FR"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_FR"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_FR"
work-life-balance_1_filter_group1,"All_FR"
work-life-balance_1_filter_group2,"Lowest income quartile_FR"
work-life-balance_1_filter_group3,"Age 18-64_FR"
work-life-balance_1_filter_gender1,"All_FR"
work-life-balance_1_filter_gender2,"Female_FR"
work-life-balance_1_filter_gender3,"Male_FR"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_FR"
work-life-balance_1_sortOption1,"By 2007 value descending_FR"
work-life-balance_1_sortOption2,"By 2016 value descending_FR"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_FR"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_FR"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_FR"
tensions_filter_data1,"Poor and rich_FR"
tensions_filter_data2,"Management and workers_FR"
tensions_filter_data3,"Men and women_FR"
tensions_filter_data4,"Old and young_FR"
tensions_filter_data5,"Different racial and ethnic groups_FR"
tensions_filter_data6,"Different religious groups_FR"
tensions_filter_data7,"People with different sexual orientations_FR"
tensions_filter_group1,"All_FR"
tensions_filter_group2,"Lowest income quartile_FR"
tensions_filter_group3,"Highest income quartile_FR"
tensions_filter_group4,"People who are satisfied with democracy_FR"
tensions_filter_group5,"Age 18-34_FR"
tensions_filter_group6,"Age 35-64_FR"
tensions_filter_group7,"Age 65+_FR"
tensions_sortOptionDefault,"Alphabetically ascending _FR"
tensions_sortOption1,"By 2007 value descending_FR"
tensions_sortOption2,"By 2011 value descending_FR"
tensions_sortOption3,"By 2016 value descending_FR"
social-excl_legend1,"(%) - 2007_FR"
social-excl_legend2,"(%) - 2016_FR"
social-excl_filter_data1,"I feel left out of society _FR"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_FR"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_FR"
social-excl_filter_data4,"Some people look down on me because of my job situation_FR"
social-excl_filter_group1,"All_FR"
social-excl_filter_group2,"Lowest income quartile_FR"
social-excl_filter_group3,"Highest income quartile_FR"
social-excl_filter_group4,"Unemployed_FR"
social-excl_filter_group5,"Employed_FR"
social-excl_sortOptionDefault,"Alphabetically ascending _FR"
social-excl_sortOption1,"By 2007 value descending_FR"
social-excl_sortOption2,"By 2016 value descending_FR"
overall-improv_legend1,"Average rating on scale 1-10, 2011_FR"
overall-improv_legend2,"Average rating on scale 1-10, 2016_FR"
overall-improv_filter_group1,"Health services_FR"
overall-improv_filter_group2,"Education system_FR"
overall-improv_filter_group3,"Public transport_FR"
overall-improv_filter_group4,"Childcare services_FR"
overall-improv_filter_group5,"Long-term care services_FR"
overall-improv_filter_group6,"Social housing_FR"
overall-improv_filter_group7,"State pension system_FR"
overall-improv_sortOptionDefault,"Alphabetically ascending_FR"
overall-improv_sortOption1,"By 2011 value descending_FR"
overall-improv_sortOption2,"By 2016 value descending_FR"
liv-depr-optim_legend1,"Optimistic about own future - 2016_FR"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_FR"
liv-depr-optim_filter_group1,"All_FR"
liv-depr-optim_filter_group2,"Lowest income quartile_FR"
liv-depr-optim_filter_group3,"Unemployed_FR"
liv-depr-optim_filter_group4,"Employed_FR"
liv-depr-optim_filter_group5,"Age 18-34_FR"
liv-depr-optim_filter_group6,"Age 35-64_FR"
liv-depr-optim_filter_group7,"Age 65+_FR"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_FR"
liv-depr-optim_sortOption1,"By own future 2016 descending_FR"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_FR"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_FR"
liv-depr-stdliving_legend2,"Satisfaction with standard of living (1-10) - 2016_FR"
liv-depr-stdliving_filter_group1,"All_FR"
liv-depr-stdliving_filter_group2,"Lowest income quartile_FR"
liv-depr-stdliving_filter_group3,"Highest income quartile_FR"
liv-depr-stdliving_filter_group4,"Unemployed_FR"
liv-depr-stdliving_filter_group5,"Age 18-34_FR"
liv-depr-stdliving_filter_group6,"Age 35-64_FR"
liv-depr-stdliving_filter_group7,"Age 65+_FR"
liv-depr-stdliving_sortOptionDefault,"Alphabetically ascending_FR"
liv-depr-stdliving_sortOption1,"By 2007 value descending_FR"
liv-depr-stdliving_sortOption2,"By 2016 value descending_FR"
liv-depr-makeendmeet_legend1,"Difficulty levels (%) - 2011_FR"
liv-depr-makeendmeet_legend2,"Difficulty levels (%) - 2016_FR"
liv-depr-makeendmeet_filter_group1,"All_FR"
liv-depr-makeendmeet_filter_group2,"Lowest income quartile_FR"
liv-depr-makeendmeet_filter_group3,"Highest income quartile_FR"
liv-depr-makeendmeet_filter_group4,"Unemployed_FR"
liv-depr-makeendmeet_filter_group5,"Long-term unemployed_FR"
liv-depr-makeendmeet_filter_group6,"Age 18-34_FR"
liv-depr-makeendmeet_filter_group7,"Age 35-64_FR"
liv-depr-makeendmeet_filter_group8,"Age 65+_FR"
liv-depr-makeendmeet_sortOptionDefault,"Alphabetically ascending_FR"
liv-depr-makeendmeet_sortOption1,"By 2011 value descending_FR"
liv-depr-makeendmeet_sortOption2,"By 2016 value descending_FR"
liv-depr-economising_legend1,"% Who say Yes to selected modality - 2016_FR"
liv-depr-economising_filter_data1,"Go without fresh fruit and vegetables_FR"
liv-depr-economising_filter_data2,"Buy cheaper cuts of meat or less meat_FR"
liv-depr-economising_filter_data3,"Do not go or delay doctor visits_FR"
liv-depr-economising_filter_data4,"Do not go or delay visits to the dentist_FR"
liv-depr-economising_filter_group1,"All_FR"
liv-depr-economising_filter_group2,"Lowest income quartile_FR"
liv-depr-economising_filter_group3,"Highest income quartile_FR"
liv-depr-economising_filter_group4,"People who struggle to make ends meet_FR"
liv-depr-economising_filter_group5,"Age 18-34_FR"
liv-depr-economising_filter_group6,"Age 35-64_FR"
liv-depr-economising_filter_group7,"Age 65+_FR"
liv-depr-economising_sortOptionDefault,"Alphabetically ascending_FR"
liv-depr-economising_sortOption1,"By 2016 value descending_FR"
work-life-balance_2_legend1,"At least several times a week (%) - 2016_FR"
work-life-balance_2_filter_data1,"Frequency caring for and/or educating your children_FR"
work-life-balance_2_filter_data2,"Frequency caring for and/or educating your grandchildren_FR"
work-life-balance_2_filter_data3,"Frequency cooking and/or housework_FR"
work-life-balance_2_filter_data4,"Frequency caring for disabled or infirm family members, meighbours or friends under 75 years old_FR"
work-life-balance_2_filter_data5,"Frequency caring for disabled or infirm family members, meighbours or friends aged 75 or over_FR"
work-life-balance_2_filter_group1,"All_FR"
work-life-balance_2_filter_group2,"Lowest income quartile_FR"
work-life-balance_2_filter_group3,"Employed_FR"
work-life-balance_2_filter_group4,"Unemployed_FR"
work-life-balance_2_filter_group5,"Age 18-64_FR"
work-life-balance_2_filter_group6,"Male_FR"
work-life-balance_2_filter_group7,"Female_FR"
work-life-balance_2_sortOptionDefault,"Alphabetically ascending _FR"
work-life-balance_2_sortOption1,"By 2016 value descending_FR"
quality-dim-GP_legend1,"Having difficulties to afford following health services (%) - 2016_FR"
quality-dim-GP_filter_group1,"Afford GP, family doctor or health centre services_FR"
quality-dim-GP_filter_group2,"Afford dental care_FR"
quality-dim-GP_filter_group3,"Afford psychologist, psychiatrist or other mental health services_FR"
quality-dim-GP_filter_group4,"Afford emergency healthcare_FR"
quality-dim-GP_filter_group5,"Afford other hospital or specialist services_FR"
quality-dim-GP_sortOptionDefault,"Alphabetically ascending_FR"
quality-dim-GP_sortOption1,"By 2016 value descending_FR"
internet-society_legend1,"(%) level of participation - 2011_FR"
internet-society_legend2,"(%) level of participation - 2016_FR"
internet-society_filter_data1,"Use of the internet other than work_FR"
internet-society_filter_data2,"Used online banking facilities in last 12 months_FR"
internet-society_filter_data3,"Used any online facility of public administration in last 12 months_FR"
internet-society_filter_group1,"Male_FR"
internet-society_filter_group2,"Female_FR"
internet-society_filter_group3,"Age 18-34_FR"
internet-society_filter_group4,"Age 35-64_FR"
internet-society_filter_group5,"Age 65-74_FR"
internet-society_filter_group6,"Age 75+_FR"
internet-society_sortOptionDefault,"Alphabetically ascending_FR"
internet-society_sortOption1,"By 2011 value descending_FR"
internet-society_sortOption2,"By 2016 value descending_FR"
