Key,"Value"
countryEU,"EU28_HR"
countryAT,"Austria_HR"
countryBE,"Belgium_HR"
countryBG,"Bulgaria_HR"
countryHR,"Croatia_HR"
countryCY,"Cyprus_HR"
countryCZ,"Czech Republic_HR"
countryDA,"Denmark_HR"
countryET,"Estonia_HR"
countryFI,"Finland_HR"
countryFR,"France_HR"
countryDE,"Germany_HR"
countryGR,"Greece_HR"
countryHU,"Hungary_HR"
countryIE,"Ireland_HR"
countryIT,"Italy_HR"
countryLV,"Latvia_HR"
countryLT,"Lithuania_HR"
countryLU,"Luxembourg_HR"
countryMT,"Malta_HR"
countryNL,"Netherlands_HR"
countryPL,"Poland_HR"
countryPT,"Portugal_HR"
countryRO,"Romania_HR"
countrySK,"Slovakia_HR"
countrySL,"Slovenia_HR"
countryES,"Spain_HR"
countrySE,"Sweden_HR"
countryUK,"United Kingdom_HR"
LabelFilters,"Filters:_HR"
LabelData,"Data:_HR"
LabelGroup,"Group:_HR"
LabelGender,"Gender:_HR"
LabelSort,"Sort:_HR"
happiness_legend1,"Average rating on scale (1-10), 2011_HR"
happiness_legend2,"Average rating on scale (1-10), 2016_HR"
happiness_legend3,"Average rating on scale (1-10), 2011_HR"
happiness_legend4,"Average rating on scale (1-10), 2016_HR"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_HR"
happiness_sortOption1,"Alphabetically ascending_HR"
happiness_sortOption2,"By Happiness 2016 descending_HR"
happiness_sortOption3,"By Life Satisfaction 2016 descending_HR"
optimism_legend1,"I am optimistic about my future (%) - 2016_HR"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_HR"
optimism_filter_group1,"All_HR"
optimism_filter_group2,"Lowest income quartile_HR"
optimism_filter_group3,"Unemployed_HR"
optimism_filter_group4,"Employed_HR"
optimism_filter_group5,"Age 18-34_HR"
optimism_filter_group6,"Age 35-64_HR"
optimism_filter_group7,"Age 65+_HR"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_HR"
optimism_sortOption1,"By own future 2016 descending_HR"
optimism_sortOption2,"By (grand)children's future 2016 descending_HR"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_HR"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_HR"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_HR"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_HR"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_HR"
work-life-balance_1_filter_group1,"All_HR"
work-life-balance_1_filter_group2,"Lowest income quartile_HR"
work-life-balance_1_filter_group3,"Age 18-64_HR"
work-life-balance_1_filter_gender1,"All_HR"
work-life-balance_1_filter_gender2,"Female_HR"
work-life-balance_1_filter_gender3,"Male_HR"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_HR"
work-life-balance_1_sortOption1,"By 2007 value descending_HR"
work-life-balance_1_sortOption2,"By 2016 value descending_HR"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_HR"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_HR"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_HR"
tensions_filter_data1,"Poor and rich_HR"
tensions_filter_data2,"Management and workers_HR"
tensions_filter_data3,"Men and women_HR"
tensions_filter_data4,"Old and young_HR"
tensions_filter_data5,"Different racial and ethnic groups_HR"
tensions_filter_data6,"Different religious groups_HR"
tensions_filter_data7,"People with different sexual orientations_HR"
tensions_filter_group1,"All_HR"
tensions_filter_group2,"Lowest income quartile_HR"
tensions_filter_group3,"Highest income quartile_HR"
tensions_filter_group4,"People who are satisfied with democracy_HR"
tensions_filter_group5,"Age 18-34_HR"
tensions_filter_group6,"Age 35-64_HR"
tensions_filter_group7,"Age 65+_HR"
tensions_sortOptionDefault,"Alphabetically ascending _HR"
tensions_sortOption1,"By 2007 value descending_HR"
tensions_sortOption2,"By 2011 value descending_HR"
tensions_sortOption3,"By 2016 value descending_HR"
social-excl_legend1,"(%) - 2007_HR"
social-excl_legend2,"(%) - 2016_HR"
social-excl_filter_data1,"I feel left out of society _HR"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_HR"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_HR"
social-excl_filter_data4,"Some people look down on me because of my job situation_HR"
social-excl_filter_group1,"All_HR"
social-excl_filter_group2,"Lowest income quartile_HR"
social-excl_filter_group3,"Highest income quartile_HR"
social-excl_filter_group4,"Unemployed_HR"
social-excl_filter_group5,"Employed_HR"
social-excl_sortOptionDefault,"Alphabetically ascending _HR"
social-excl_sortOption1,"By 2007 value descending_HR"
social-excl_sortOption2,"By 2016 value descending_HR"
overall-improv_legend1,"Average rating on scale 1-10, 2011_HR"
overall-improv_legend2,"Average rating on scale 1-10, 2016_HR"
overall-improv_filter_group1,"Health services_HR"
overall-improv_filter_group2,"Education system_HR"
overall-improv_filter_group3,"Public transport_HR"
overall-improv_filter_group4,"Childcare services_HR"
overall-improv_filter_group5,"Long-term care services_HR"
overall-improv_filter_group6,"Social housing_HR"
overall-improv_filter_group7,"State pension system_HR"
overall-improv_sortOptionDefault,"Alphabetically ascending_HR"
