Key,"Value"
countryEU,"EU28_IS"
countryAT,"Austria_IS"
countryBE,"Belgium_IS"
countryBG,"Bulgaria_IS"
countryHR,"Croatia_IS"
countryCY,"Cyprus_IS"
countryCZ,"Czech Republic_IS"
countryDA,"Denmark_IS"
countryET,"Estonia_IS"
countryFI,"Finland_IS"
countryFR,"France_IS"
countryDE,"Germany_IS"
countryGR,"Greece_IS"
countryHU,"Hungary_IS"
countryIE,"Ireland_IS"
countryIT,"Italy_IS"
countryLV,"Latvia_IS"
countryLT,"Lithuania_IS"
countryLU,"Luxembourg_IS"
countryMT,"Malta_IS"
countryNL,"Netherlands_IS"
countryPL,"Poland_IS"
countryPT,"Portugal_IS"
countryRO,"Romania_IS"
countrySK,"Slovakia_IS"
countrySL,"Slovenia_IS"
countryES,"Spain_IS"
countrySE,"Sweden_IS"
countryUK,"United Kingdom_IS"
LabelFilters,"Filters:_IS"
LabelData,"Data:_IS"
LabelGroup,"Group:_IS"
LabelGender,"Gender:_IS"
LabelSort,"Sort:_IS"
happiness_legend1,"Average rating on scale (1-10), 2011_IS"
happiness_legend2,"Average rating on scale (1-10), 2016_IS"
happiness_legend3,"Average rating on scale (1-10), 2011_IS"
happiness_legend4,"Average rating on scale (1-10), 2016_IS"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_IS"
happiness_sortOption1,"Alphabetically ascending_IS"
happiness_sortOption2,"By Happiness 2016 descending_IS"
happiness_sortOption3,"By Life Satisfaction 2016 descending_IS"
optimism_legend1,"I am optimistic about my future (%) - 2016_IS"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_IS"
optimism_filter_group1,"All_IS"
optimism_filter_group2,"Lowest income quartile_IS"
optimism_filter_group3,"Unemployed_IS"
optimism_filter_group4,"Employed_IS"
optimism_filter_group5,"Age 18-34_IS"
optimism_filter_group6,"Age 35-64_IS"
optimism_filter_group7,"Age 65+_IS"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_IS"
optimism_sortOption1,"By own future 2016 descending_IS"
optimism_sortOption2,"By (grand)children's future 2016 descending_IS"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_IS"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_IS"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_IS"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_IS"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_IS"
work-life-balance_1_filter_group1,"All_IS"
work-life-balance_1_filter_group2,"Lowest income quartile_IS"
work-life-balance_1_filter_group3,"Age 18-64_IS"
work-life-balance_1_filter_gender1,"All_IS"
work-life-balance_1_filter_gender2,"Female_IS"
work-life-balance_1_filter_gender3,"Male_IS"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_IS"
work-life-balance_1_sortOption1,"By 2007 value descending_IS"
work-life-balance_1_sortOption2,"By 2016 value descending_IS"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_IS"
