Key,"Value"
countryEU,"EU28_MT"
countryAT,"Austria_MT"
countryBE,"Belgium_MT"
countryBG,"Bulgaria_MT"
countryHR,"Croatia_MT"
countryCY,"Cyprus_MT"
countryCZ,"Czech Republic_MT"
countryDA,"Denmark_MT"
countryET,"Estonia_MT"
countryFI,"Finland_MT"
countryFR,"France_MT"
countryDE,"Germany_MT"
countryGR,"Greece_MT"
countryHU,"Hungary_MT"
countryIE,"Ireland_MT"
countryIT,"Italy_MT"
countryLV,"Latvia_MT"
countryLT,"Lithuania_MT"
countryLU,"Luxembourg_MT"
countryMT,"Malta_MT"
countryNL,"Netherlands_MT"
countryPL,"Poland_MT"
countryPT,"Portugal_MT"
countryRO,"Romania_MT"
countrySK,"Slovakia_MT"
countrySL,"Slovenia_MT"
countryES,"Spain_MT"
countrySE,"Sweden_MT"
countryUK,"United Kingdom_MT"
LabelFilters,"Filters:_MT"
LabelData,"Data:_MT"
LabelGroup,"Group:_MT"
LabelGender,"Gender:_MT"
LabelSort,"Sort:_MT"
happiness_legend1,"Average rating on scale (1-10), 2011_MT"
happiness_legend2,"Average rating on scale (1-10), 2016_MT"
happiness_legend3,"Average rating on scale (1-10), 2011_MT"
happiness_legend4,"Average rating on scale (1-10), 2016_MT"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_MT"
happiness_sortOption1,"Alphabetically ascending_MT"
happiness_sortOption2,"By Happiness 2016 descending_MT"
happiness_sortOption3,"By Life Satisfaction 2016 descending_MT"
optimism_legend1,"I am optimistic about my future (%) - 2016_MT"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_MT"
optimism_filter_group1,"All_MT"
optimism_filter_group2,"Lowest income quartile_MT"
optimism_filter_group3,"Unemployed_MT"
optimism_filter_group4,"Employed_MT"
optimism_filter_group5,"Age 18-34_MT"
optimism_filter_group6,"Age 35-64_MT"
optimism_filter_group7,"Age 65+_MT"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_MT"
optimism_sortOption1,"By own future 2016 descending_MT"
optimism_sortOption2,"By (grand)children's future 2016 descending_MT"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_MT"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_MT"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_MT"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_MT"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_MT"
work-life-balance_1_filter_group1,"All_MT"
work-life-balance_1_filter_group2,"Lowest income quartile_MT"
work-life-balance_1_filter_group3,"Age 18-64_MT"
work-life-balance_1_filter_gender1,"All_MT"
