Key,"Value"
countryEU,"EU28_NL"
countryAT,"Austria_NL"
countryBE,"Belgium_NL"
countryBG,"Bulgaria_NL"
countryHR,"Croatia_NL"
countryCY,"Cyprus_NL"
countryCZ,"Czech Republic_NL"
countryDA,"Denmark_NL"
countryET,"Estonia_NL"
countryFI,"Finland_NL"
countryFR,"France_NL"
countryDE,"Germany_NL"
countryGR,"Greece_NL"
countryHU,"Hungary_NL"
countryIE,"Ireland_NL"
countryIT,"Italy_NL"
countryLV,"Latvia_NL"
countryLT,"Lithuania_NL"
countryLU,"Luxembourg_NL"
countryMT,"Malta_NL"
countryNL,"Netherlands_NL"
countryPL,"Poland_NL"
countryPT,"Portugal_NL"
countryRO,"Romania_NL"
countrySK,"Slovakia_NL"
countrySL,"Slovenia_NL"
countryES,"Spain_NL"
countrySE,"Sweden_NL"
countryUK,"United Kingdom_NL"
LabelFilters,"Filters:_NL"
LabelData,"Data:_NL"
LabelGroup,"Group:_NL"
LabelGender,"Gender:_NL"
LabelSort,"Sort:_NL"
happiness_legend1,"Average rating on scale (1-10), 2011_NL"
happiness_legend2,"Average rating on scale (1-10), 2016_NL"
happiness_legend3,"Average rating on scale (1-10), 2011_NL"
happiness_legend4,"Average rating on scale (1-10), 2016_NL"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_NL"
happiness_sortOption1,"Alphabetically ascending_NL"
happiness_sortOption2,"By Happiness 2016 descending_NL"
happiness_sortOption3,"By Life Satisfaction 2016 descending_NL"
optimism_legend1,"I am optimistic about my future (%) - 2016_NL"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_NL"
optimism_filter_group1,"All_NL"
optimism_filter_group2,"Lowest income quartile_NL"
optimism_filter_group3,"Unemployed_NL"
optimism_filter_group4,"Employed_NL"
optimism_filter_group5,"Age 18-34_NL"
optimism_filter_group6,"Age 35-64_NL"
optimism_filter_group7,"Age 65+_NL"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_NL"
optimism_sortOption1,"By own future 2016 descending_NL"
optimism_sortOption2,"By (grand)children's future 2016 descending_NL"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_NL"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_NL"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_NL"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_NL"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_NL"
work-life-balance_1_filter_group1,"All_NL"
work-life-balance_1_filter_group2,"Lowest income quartile_NL"
work-life-balance_1_filter_group3,"Age 18-64_NL"
work-life-balance_1_filter_gender1,"All_NL"
work-life-balance_1_filter_gender2,"Female_NL"
work-life-balance_1_filter_gender3,"Male_NL"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_NL"
work-life-balance_1_sortOption1,"By 2007 value descending_NL"
work-life-balance_1_sortOption2,"By 2016 value descending_NL"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_NL"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_NL"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_NL"
tensions_filter_data1,"Poor and rich_NL"
tensions_filter_data2,"Management and workers_NL"
tensions_filter_data3,"Men and women_NL"
tensions_filter_data4,"Old and young_NL"
tensions_filter_data5,"Different racial and ethnic groups_NL"
tensions_filter_data6,"Different religious groups_NL"
tensions_filter_data7,"People with different sexual orientations_NL"
tensions_filter_group1,"All_NL"
tensions_filter_group2,"Lowest income quartile_NL"
tensions_filter_group3,"Highest income quartile_NL"
tensions_filter_group4,"People who are satisfied with democracy_NL"
tensions_filter_group5,"Age 18-34_NL"
tensions_filter_group6,"Age 35-64_NL"
tensions_filter_group7,"Age 65+_NL"
tensions_sortOptionDefault,"Alphabetically ascending _NL"
tensions_sortOption1,"By 2007 value descending_NL"
tensions_sortOption2,"By 2011 value descending_NL"
tensions_sortOption3,"By 2016 value descending_NL"
social-excl_legend1,"(%) - 2007_NL"
social-excl_legend2,"(%) - 2016_NL"
social-excl_filter_data1,"I feel left out of society _NL"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_NL"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_NL"
social-excl_filter_data4,"Some people look down on me because of my job situation_NL"
social-excl_filter_group1,"All_NL"
social-excl_filter_group2,"Lowest income quartile_NL"
social-excl_filter_group3,"Highest income quartile_NL"
social-excl_filter_group4,"Unemployed_NL"
social-excl_filter_group5,"Employed_NL"
social-excl_sortOptionDefault,"Alphabetically ascending _NL"
social-excl_sortOption1,"By 2007 value descending_NL"
social-excl_sortOption2,"By 2016 value descending_NL"
overall-improv_legend1,"Average rating on scale 1-10, 2011_NL"
overall-improv_legend2,"Average rating on scale 1-10, 2016_NL"
overall-improv_filter_group1,"Health services_NL"
overall-improv_filter_group2,"Education system_NL"
overall-improv_filter_group3,"Public transport_NL"
overall-improv_filter_group4,"Childcare services_NL"
overall-improv_filter_group5,"Long-term care services_NL"
overall-improv_filter_group6,"Social housing_NL"
overall-improv_filter_group7,"State pension system_NL"
overall-improv_sortOptionDefault,"Alphabetically ascending_NL"
overall-improv_sortOption1,"By 2011 value descending_NL"
overall-improv_sortOption2,"By 2016 value descending_NL"
liv-depr-optim_legend1,"Optimistic about own future - 2016_NL"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_NL"
liv-depr-optim_filter_group1,"All_NL"
liv-depr-optim_filter_group2,"Lowest income quartile_NL"
liv-depr-optim_filter_group3,"Unemployed_NL"
liv-depr-optim_filter_group4,"Employed_NL"
liv-depr-optim_filter_group5,"Age 18-34_NL"
liv-depr-optim_filter_group6,"Age 35-64_NL"
liv-depr-optim_filter_group7,"Age 65+_NL"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_NL"
liv-depr-optim_sortOption1,"By own future 2016 descending_NL"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_NL"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_NL"
liv-depr-stdliving_legend2,"Satisfaction with standard of living (1-10) - 2016_NL"
liv-depr-stdliving_filter_group1,"All_NL"
liv-depr-stdliving_filter_group2,"Lowest income quartile_NL"
liv-depr-stdliving_filter_group3,"Highest income quartile_NL"
liv-depr-stdliving_filter_group4,"Unemployed_NL"
liv-depr-stdliving_filter_group5,"Age 18-34_NL"
liv-depr-stdliving_filter_group6,"Age 35-64_NL"
liv-depr-stdliving_filter_group7,"Age 65+_NL"
liv-depr-stdliving_sortOptionDefault,"Alphabetically ascending_NL"
liv-depr-stdliving_sortOption1,"By 2007 value descending_NL"
liv-depr-stdliving_sortOption2,"By 2016 value descending_NL"
liv-depr-makeendmeet_legend1,"Difficulty levels (%) - 2011_NL"
liv-depr-makeendmeet_legend2,"Difficulty levels (%) - 2016_NL"
liv-depr-makeendmeet_filter_group1,"All_NL"
liv-depr-makeendmeet_filter_group2,"Lowest income quartile_NL"
liv-depr-makeendmeet_filter_group3,"Highest income quartile_NL"
liv-depr-makeendmeet_filter_group4,"Unemployed_NL"
liv-depr-makeendmeet_filter_group5,"Long-term unemployed_NL"
liv-depr-makeendmeet_filter_group6,"Age 18-34_NL"
liv-depr-makeendmeet_filter_group7,"Age 35-64_NL"
liv-depr-makeendmeet_filter_group8,"Age 65+_NL"
liv-depr-makeendmeet_sortOptionDefault,"Alphabetically ascending_NL"
liv-depr-makeendmeet_sortOption1,"By 2011 value descending_NL"
liv-depr-makeendmeet_sortOption2,"By 2016 value descending_NL"
liv-depr-economising_legend1,"% Who say Yes to selected modality - 2016_NL"
liv-depr-economising_filter_data1,"Go without fresh fruit and vegetables_NL"
liv-depr-economising_filter_data2,"Buy cheaper cuts of meat or less meat_NL"
liv-depr-economising_filter_data3,"Do not go or delay doctor visits_NL"
liv-depr-economising_filter_data4,"Do not go or delay visits to the dentist_NL"
liv-depr-economising_filter_group1,"All_NL"
liv-depr-economising_filter_group2,"Lowest income quartile_NL"
liv-depr-economising_filter_group3,"Highest income quartile_NL"
liv-depr-economising_filter_group4,"People who struggle to make ends meet_NL"
liv-depr-economising_filter_group5,"Age 18-34_NL"
liv-depr-economising_filter_group6,"Age 35-64_NL"
liv-depr-economising_filter_group7,"Age 65+_NL"
liv-depr-economising_sortOptionDefault,"Alphabetically ascending_NL"
liv-depr-economising_sortOption1,"By 2016 value descending_NL"
work-life-balance_2_legend1,"At least several times a week (%) - 2016_NL"
work-life-balance_2_filter_data1,"Frequency caring for and/or educating your children_NL"
work-life-balance_2_filter_data2,"Frequency caring for and/or educating your grandchildren_NL"
work-life-balance_2_filter_data3,"Frequency cooking and/or housework_NL"
work-life-balance_2_filter_data4,"Frequency caring for disabled or infirm family members, meighbours or friends under 75 years old_NL"
work-life-balance_2_filter_data5,"Frequency caring for disabled or infirm family members, meighbours or friends aged 75 or over_NL"
work-life-balance_2_filter_group1,"All_NL"
work-life-balance_2_filter_group2,"Lowest income quartile_NL"
work-life-balance_2_filter_group3,"Employed_NL"
