Key,"Value"
countryEU,"EU28_PL"
countryAT,"Austria_PL"
countryBE,"Belgium_PL"
countryBG,"Bulgaria_PL"
countryHR,"Croatia_PL"
countryCY,"Cyprus_PL"
countryCZ,"Czech Republic_PL"
countryDA,"Denmark_PL"
countryET,"Estonia_PL"
countryFI,"Finland_PL"
countryFR,"France_PL"
countryDE,"Germany_PL"
countryGR,"Greece_PL"
countryHU,"Hungary_PL"
countryIE,"Ireland_PL"
countryIT,"Italy_PL"
countryLV,"Latvia_PL"
countryLT,"Lithuania_PL"
countryLU,"Luxembourg_PL"
countryMT,"Malta_PL"
countryNL,"Netherlands_PL"
countryPL,"Poland_PL"
countryPT,"Portugal_PL"
countryRO,"Romania_PL"
countrySK,"Slovakia_PL"
countrySL,"Slovenia_PL"
countryES,"Spain_PL"
countrySE,"Sweden_PL"
countryUK,"United Kingdom_PL"
LabelFilters,"Filters:_PL"
LabelData,"Data:_PL"
LabelGroup,"Group:_PL"
LabelGender,"Gender:_PL"
LabelSort,"Sort:_PL"
happiness_legend1,"Average rating on scale (1-10), 2011_PL"
happiness_legend2,"Average rating on scale (1-10), 2016_PL"
happiness_legend3,"Average rating on scale (1-10), 2011_PL"
happiness_legend4,"Average rating on scale (1-10), 2016_PL"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_PL"
happiness_sortOption1,"Alphabetically ascending_PL"
happiness_sortOption2,"By Happiness 2016 descending_PL"
happiness_sortOption3,"By Life Satisfaction 2016 descending_PL"
optimism_legend1,"I am optimistic about my future (%) - 2016_PL"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_PL"
optimism_filter_group1,"All_PL"
optimism_filter_group2,"Lowest income quartile_PL"
optimism_filter_group3,"Unemployed_PL"
optimism_filter_group4,"Employed_PL"
optimism_filter_group5,"Age 18-34_PL"
optimism_filter_group6,"Age 35-64_PL"
optimism_filter_group7,"Age 65+_PL"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_PL"
optimism_sortOption1,"By own future 2016 descending_PL"
optimism_sortOption2,"By (grand)children's future 2016 descending_PL"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_PL"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_PL"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_PL"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_PL"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_PL"
work-life-balance_1_filter_group1,"All_PL"
