Key,"Value"
countryEU,"EU28_RO"
countryAT,"Austria_RO"
countryBE,"Belgium_RO"
countryBG,"Bulgaria_RO"
countryHR,"Croatia_RO"
countryCY,"Cyprus_RO"
countryCZ,"Czech Republic_RO"
countryDA,"Denmark_RO"
countryET,"Estonia_RO"
countryFI,"Finland_RO"
countryFR,"France_RO"
countryDE,"Germany_RO"
countryGR,"Greece_RO"
countryHU,"Hungary_RO"
countryIE,"Ireland_RO"
countryIT,"Italy_RO"
countryLV,"Latvia_RO"
countryLT,"Lithuania_RO"
countryLU,"Luxembourg_RO"
countryMT,"Malta_RO"
countryNL,"Netherlands_RO"
countryPL,"Poland_RO"
countryPT,"Portugal_RO"
countryRO,"Romania_RO"
countrySK,"Slovakia_RO"
countrySL,"Slovenia_RO"
countryES,"Spain_RO"
countrySE,"Sweden_RO"
countryUK,"United Kingdom_RO"
LabelFilters,"Filters:_RO"
LabelData,"Data:_RO"
LabelGroup,"Group:_RO"
LabelGender,"Gender:_RO"
LabelSort,"Sort:_RO"
happiness_legend1,"Average rating on scale (1-10), 2011_RO"
happiness_legend2,"Average rating on scale (1-10), 2016_RO"
happiness_legend3,"Average rating on scale (1-10), 2011_RO"
happiness_legend4,"Average rating on scale (1-10), 2016_RO"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_RO"
happiness_sortOption1,"Alphabetically ascending_RO"
happiness_sortOption2,"By Happiness 2016 descending_RO"
happiness_sortOption3,"By Life Satisfaction 2016 descending_RO"
optimism_legend1,"I am optimistic about my future (%) - 2016_RO"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_RO"
optimism_filter_group1,"All_RO"
optimism_filter_group2,"Lowest income quartile_RO"
optimism_filter_group3,"Unemployed_RO"
optimism_filter_group4,"Employed_RO"
optimism_filter_group5,"Age 18-34_RO"
optimism_filter_group6,"Age 35-64_RO"
optimism_filter_group7,"Age 65+_RO"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_RO"
optimism_sortOption1,"By own future 2016 descending_RO"
optimism_sortOption2,"By (grand)children's future 2016 descending_RO"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_RO"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_RO"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_RO"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_RO"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_RO"
work-life-balance_1_filter_group1,"All_RO"
work-life-balance_1_filter_group2,"Lowest income quartile_RO"
work-life-balance_1_filter_group3,"Age 18-64_RO"
work-life-balance_1_filter_gender1,"All_RO"
work-life-balance_1_filter_gender2,"Female_RO"
work-life-balance_1_filter_gender3,"Male_RO"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_RO"
work-life-balance_1_sortOption1,"By 2007 value descending_RO"
work-life-balance_1_sortOption2,"By 2016 value descending_RO"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_RO"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_RO"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_RO"
tensions_filter_data1,"Poor and rich_RO"
tensions_filter_data2,"Management and workers_RO"
tensions_filter_data3,"Men and women_RO"
tensions_filter_data4,"Old and young_RO"
tensions_filter_data5,"Different racial and ethnic groups_RO"
tensions_filter_data6,"Different religious groups_RO"
tensions_filter_data7,"People with different sexual orientations_RO"
tensions_filter_group1,"All_RO"
tensions_filter_group2,"Lowest income quartile_RO"
tensions_filter_group3,"Highest income quartile_RO"
tensions_filter_group4,"People who are satisfied with democracy_RO"
tensions_filter_group5,"Age 18-34_RO"
tensions_filter_group6,"Age 35-64_RO"
tensions_filter_group7,"Age 65+_RO"
tensions_sortOptionDefault,"Alphabetically ascending _RO"
tensions_sortOption1,"By 2007 value descending_RO"
tensions_sortOption2,"By 2011 value descending_RO"
tensions_sortOption3,"By 2016 value descending_RO"
social-excl_legend1,"(%) - 2007_RO"
social-excl_legend2,"(%) - 2016_RO"
social-excl_filter_data1,"I feel left out of society _RO"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_RO"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_RO"
social-excl_filter_data4,"Some people look down on me because of my job situation_RO"
social-excl_filter_group1,"All_RO"
social-excl_filter_group2,"Lowest income quartile_RO"
social-excl_filter_group3,"Highest income quartile_RO"
social-excl_filter_group4,"Unemployed_RO"
social-excl_filter_group5,"Employed_RO"
social-excl_sortOptionDefault,"Alphabetically ascending _RO"
social-excl_sortOption1,"By 2007 value descending_RO"
