Key,"Value"
countryEU,"EU28_SK"
countryAT,"Austria_SK"
countryBE,"Belgium_SK"
countryBG,"Bulgaria_SK"
countryHR,"Croatia_SK"
countryCY,"Cyprus_SK"
countryCZ,"Czech Republic_SK"
countryDA,"Denmark_SK"
countryET,"Estonia_SK"
countryFI,"Finland_SK"
countryFR,"France_SK"
countryDE,"Germany_SK"
countryGR,"Greece_SK"
countryHU,"Hungary_SK"
countryIE,"Ireland_SK"
countryIT,"Italy_SK"
countryLV,"Latvia_SK"
countryLT,"Lithuania_SK"
countryLU,"Luxembourg_SK"
countryMT,"Malta_SK"
countryNL,"Netherlands_SK"
countryPL,"Poland_SK"
countryPT,"Portugal_SK"
countryRO,"Romania_SK"
countrySK,"Slovakia_SK"
countrySL,"Slovenia_SK"
countryES,"Spain_SK"
countrySE,"Sweden_SK"
countryUK,"United Kingdom_SK"
LabelFilters,"Filters:_SK"
LabelData,"Data:_SK"
LabelGroup,"Group:_SK"
LabelGender,"Gender:_SK"
LabelSort,"Sort:_SK"
happiness_legend1,"Average rating on scale (1-10), 2011_SK"
happiness_legend2,"Average rating on scale (1-10), 2016_SK"
happiness_legend3,"Average rating on scale (1-10), 2011_SK"
happiness_legend4,"Average rating on scale (1-10), 2016_SK"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_SK"
happiness_sortOption1,"Alphabetically ascending_SK"
happiness_sortOption2,"By Happiness 2016 descending_SK"
happiness_sortOption3,"By Life Satisfaction 2016 descending_SK"
optimism_legend1,"I am optimistic about my future (%) - 2016_SK"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_SK"
optimism_filter_group1,"All_SK"
optimism_filter_group2,"Lowest income quartile_SK"
optimism_filter_group3,"Unemployed_SK"
optimism_filter_group4,"Employed_SK"
optimism_filter_group5,"Age 18-34_SK"
optimism_filter_group6,"Age 35-64_SK"
optimism_filter_group7,"Age 65+_SK"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_SK"
optimism_sortOption1,"By own future 2016 descending_SK"
optimism_sortOption2,"By (grand)children's future 2016 descending_SK"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_SK"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_SK"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_SK"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_SK"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_SK"
work-life-balance_1_filter_group1,"All_SK"
work-life-balance_1_filter_group2,"Lowest income quartile_SK"
work-life-balance_1_filter_group3,"Age 18-64_SK"
work-life-balance_1_filter_gender1,"All_SK"
work-life-balance_1_filter_gender2,"Female_SK"
work-life-balance_1_filter_gender3,"Male_SK"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_SK"
work-life-balance_1_sortOption1,"By 2007 value descending_SK"
work-life-balance_1_sortOption2,"By 2016 value descending_SK"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_SK"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_SK"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_SK"
tensions_filter_data1,"Poor and rich_SK"
tensions_filter_data2,"Management and workers_SK"
tensions_filter_data3,"Men and women_SK"
tensions_filter_data4,"Old and young_SK"
tensions_filter_data5,"Different racial and ethnic groups_SK"
tensions_filter_data6,"Different religious groups_SK"
tensions_filter_data7,"People with different sexual orientations_SK"
tensions_filter_group1,"All_SK"
tensions_filter_group2,"Lowest income quartile_SK"
tensions_filter_group3,"Highest income quartile_SK"
tensions_filter_group4,"People who are satisfied with democracy_SK"
tensions_filter_group5,"Age 18-34_SK"
tensions_filter_group6,"Age 35-64_SK"
tensions_filter_group7,"Age 65+_SK"
tensions_sortOptionDefault,"Alphabetically ascending _SK"
tensions_sortOption1,"By 2007 value descending_SK"
tensions_sortOption2,"By 2011 value descending_SK"
tensions_sortOption3,"By 2016 value descending_SK"
social-excl_legend1,"(%) - 2007_SK"
social-excl_legend2,"(%) - 2016_SK"
social-excl_filter_data1,"I feel left out of society _SK"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_SK"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_SK"
social-excl_filter_data4,"Some people look down on me because of my job situation_SK"
social-excl_filter_group1,"All_SK"
social-excl_filter_group2,"Lowest income quartile_SK"
social-excl_filter_group3,"Highest income quartile_SK"
social-excl_filter_group4,"Unemployed_SK"
social-excl_filter_group5,"Employed_SK"
social-excl_sortOptionDefault,"Alphabetically ascending _SK"
social-excl_sortOption1,"By 2007 value descending_SK"
social-excl_sortOption2,"By 2016 value descending_SK"
overall-improv_legend1,"Average rating on scale 1-10, 2011_SK"
overall-improv_legend2,"Average rating on scale 1-10, 2016_SK"
overall-improv_filter_group1,"Health services_SK"
overall-improv_filter_group2,"Education system_SK"
overall-improv_filter_group3,"Public transport_SK"
overall-improv_filter_group4,"Childcare services_SK"
overall-improv_filter_group5,"Long-term care services_SK"
overall-improv_filter_group6,"Social housing_SK"
overall-improv_filter_group7,"State pension system_SK"
overall-improv_sortOptionDefault,"Alphabetically ascending_SK"
overall-improv_sortOption1,"By 2011 value descending_SK"
overall-improv_sortOption2,"By 2016 value descending_SK"
liv-depr-optim_legend1,"Optimistic about own future - 2016_SK"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_SK"
liv-depr-optim_filter_group1,"All_SK"
liv-depr-optim_filter_group2,"Lowest income quartile_SK"
liv-depr-optim_filter_group3,"Unemployed_SK"
liv-depr-optim_filter_group4,"Employed_SK"
liv-depr-optim_filter_group5,"Age 18-34_SK"
liv-depr-optim_filter_group6,"Age 35-64_SK"
liv-depr-optim_filter_group7,"Age 65+_SK"
liv-depr-optim_sortOptionDefault,"Alphabetically ascending_SK"
liv-depr-optim_sortOption1,"By own future 2016 descending_SK"
liv-depr-optim_sortOption2,"By (grand)children's future 2016 descending_SK"
liv-depr-stdliving_legend1,"Satisfaction with standard of living (1-10) - 2007_SK"
liv-depr-stdliving_legend2,"Satisfaction with standard of living (1-10) - 2016_SK"
liv-depr-stdliving_filter_group1,"All_SK"
liv-depr-stdliving_filter_group2,"Lowest income quartile_SK"
liv-depr-stdliving_filter_group3,"Highest income quartile_SK"
liv-depr-stdliving_filter_group4,"Unemployed_SK"
liv-depr-stdliving_filter_group5,"Age 18-34_SK"
liv-depr-stdliving_filter_group6,"Age 35-64_SK"
liv-depr-stdliving_filter_group7,"Age 65+_SK"
liv-depr-stdliving_sortOptionDefault,"Alphabetically ascending_SK"
liv-depr-stdliving_sortOption1,"By 2007 value descending_SK"
liv-depr-stdliving_sortOption2,"By 2016 value descending_SK"
liv-depr-makeendmeet_legend1,"Difficulty levels (%) - 2011_SK"
liv-depr-makeendmeet_legend2,"Difficulty levels (%) - 2016_SK"
liv-depr-makeendmeet_filter_group1,"All_SK"
liv-depr-makeendmeet_filter_group2,"Lowest income quartile_SK"
liv-depr-makeendmeet_filter_group3,"Highest income quartile_SK"
liv-depr-makeendmeet_filter_group4,"Unemployed_SK"
liv-depr-makeendmeet_filter_group5,"Long-term unemployed_SK"
liv-depr-makeendmeet_filter_group6,"Age 18-34_SK"
liv-depr-makeendmeet_filter_group7,"Age 35-64_SK"
liv-depr-makeendmeet_filter_group8,"Age 65+_SK"
liv-depr-makeendmeet_sortOptionDefault,"Alphabetically ascending_SK"
liv-depr-makeendmeet_sortOption1,"By 2011 value descending_SK"
liv-depr-makeendmeet_sortOption2,"By 2016 value descending_SK"
liv-depr-economising_legend1,"% Who say Yes to selected modality - 2016_SK"
liv-depr-economising_filter_data1,"Go without fresh fruit and vegetables_SK"
liv-depr-economising_filter_data2,"Buy cheaper cuts of meat or less meat_SK"
liv-depr-economising_filter_data3,"Do not go or delay doctor visits_SK"
liv-depr-economising_filter_data4,"Do not go or delay visits to the dentist_SK"
liv-depr-economising_filter_group1,"All_SK"
liv-depr-economising_filter_group2,"Lowest income quartile_SK"
liv-depr-economising_filter_group3,"Highest income quartile_SK"
liv-depr-economising_filter_group4,"People who struggle to make ends meet_SK"
liv-depr-economising_filter_group5,"Age 18-34_SK"
liv-depr-economising_filter_group6,"Age 35-64_SK"
liv-depr-economising_filter_group7,"Age 65+_SK"
liv-depr-economising_sortOptionDefault,"Alphabetically ascending_SK"
liv-depr-economising_sortOption1,"By 2016 value descending_SK"
work-life-balance_2_legend1,"At least several times a week (%) - 2016_SK"
work-life-balance_2_filter_data1,"Frequency caring for and/or educating your children_SK"
work-life-balance_2_filter_data2,"Frequency caring for and/or educating your grandchildren_SK"
work-life-balance_2_filter_data3,"Frequency cooking and/or housework_SK"
work-life-balance_2_filter_data4,"Frequency caring for disabled or infirm family members, meighbours or friends under 75 years old_SK"
work-life-balance_2_filter_data5,"Frequency caring for disabled or infirm family members, meighbours or friends aged 75 or over_SK"
work-life-balance_2_filter_group1,"All_SK"
work-life-balance_2_filter_group2,"Lowest income quartile_SK"
work-life-balance_2_filter_group3,"Employed_SK"
work-life-balance_2_filter_group4,"Unemployed_SK"
work-life-balance_2_filter_group5,"Age 18-64_SK"
work-life-balance_2_filter_group6,"Male_SK"
work-life-balance_2_filter_group7,"Female_SK"
work-life-balance_2_sortOptionDefault,"Alphabetically ascending _SK"
work-life-balance_2_sortOption1,"By 2016 value descending_SK"
quality-dim-GP_legend1,"Having difficulties to afford following health services (%) - 2016_SK"
quality-dim-GP_filter_group1,"Afford GP, family doctor or health centre services_SK"
quality-dim-GP_filter_group2,"Afford dental care_SK"
quality-dim-GP_filter_group3,"Afford psychologist, psychiatrist or other mental health services_SK"
quality-dim-GP_filter_group4,"Afford emergency healthcare_SK"
quality-dim-GP_filter_group5,"Afford other hospital or specialist services_SK"
quality-dim-GP_sortOptionDefault,"Alphabetically ascending_SK"
quality-dim-GP_sortOption1,"By 2016 value descending_SK"
internet-society_legend1,"(%) level of participation - 2011_SK"
internet-society_legend2,"(%) level of participation - 2016_SK"
internet-society_filter_data1,"Use of the internet other than work_SK"
internet-society_filter_data2,"Used online banking facilities in last 12 months_SK"
internet-society_filter_data3,"Used any online facility of public administration in last 12 months_SK"
internet-society_filter_group1,"Male_SK"
internet-society_filter_group2,"Female_SK"
internet-society_filter_group3,"Age 18-34_SK"
internet-society_filter_group4,"Age 35-64_SK"
internet-society_filter_group5,"Age 65-74_SK"
internet-society_filter_group6,"Age 75+_SK"
internet-society_sortOptionDefault,"Alphabetically ascending_SK"
internet-society_sortOption1,"By 2011 value descending_SK"
internet-society_sortOption2,"By 2016 value descending_SK"
