Key,"Value"
countryEU,"EU28_SL"
countryAT,"Austria_SL"
countryBE,"Belgium_SL"
countryBG,"Bulgaria_SL"
countryHR,"Croatia_SL"
countryCY,"Cyprus_SL"
countryCZ,"Czech Republic_SL"
countryDA,"Denmark_SL"
countryET,"Estonia_SL"
countryFI,"Finland_SL"
countryFR,"France_SL"
countryDE,"Germany_SL"
countryGR,"Greece_SL"
countryHU,"Hungary_SL"
countryIE,"Ireland_SL"
countryIT,"Italy_SL"
countryLV,"Latvia_SL"
countryLT,"Lithuania_SL"
countryLU,"Luxembourg_SL"
countryMT,"Malta_SL"
countryNL,"Netherlands_SL"
countryPL,"Poland_SL"
countryPT,"Portugal_SL"
countryRO,"Romania_SL"
countrySK,"Slovakia_SL"
countrySL,"Slovenia_SL"
countryES,"Spain_SL"
countrySE,"Sweden_SL"
countryUK,"United Kingdom_SL"
LabelFilters,"Filters:_SL"
LabelData,"Data:_SL"
LabelGroup,"Group:_SL"
LabelGender,"Gender:_SL"
LabelSort,"Sort:_SL"
happiness_legend1,"Average rating on scale (1-10), 2011_SL"
happiness_legend2,"Average rating on scale (1-10), 2016_SL"
happiness_legend3,"Average rating on scale (1-10), 2011_SL"
happiness_legend4,"Average rating on scale (1-10), 2016_SL"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_SL"
happiness_sortOption1,"Alphabetically ascending_SL"
happiness_sortOption2,"By Happiness 2016 descending_SL"
happiness_sortOption3,"By Life Satisfaction 2016 descending_SL"
optimism_legend1,"I am optimistic about my future (%) - 2016_SL"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_SL"
optimism_filter_group1,"All_SL"
optimism_filter_group2,"Lowest income quartile_SL"
optimism_filter_group3,"Unemployed_SL"
optimism_filter_group4,"Employed_SL"
optimism_filter_group5,"Age 18-34_SL"
optimism_filter_group6,"Age 35-64_SL"
optimism_filter_group7,"Age 65+_SL"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_SL"
optimism_sortOption1,"By own future 2016 descending_SL"
optimism_sortOption2,"By (grand)children's future 2016 descending_SL"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_SL"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_SL"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_SL"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_SL"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_SL"
work-life-balance_1_filter_group1,"All_SL"
work-life-balance_1_filter_group2,"Lowest income quartile_SL"
work-life-balance_1_filter_group3,"Age 18-64_SL"
work-life-balance_1_filter_gender1,"All_SL"
work-life-balance_1_filter_gender2,"Female_SL"
work-life-balance_1_filter_gender3,"Male_SL"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_SL"
work-life-balance_1_sortOption1,"By 2007 value descending_SL"
work-life-balance_1_sortOption2,"By 2016 value descending_SL"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_SL"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_SL"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_SL"
tensions_filter_data1,"Poor and rich_SL"
tensions_filter_data2,"Management and workers_SL"
tensions_filter_data3,"Men and women_SL"
tensions_filter_data4,"Old and young_SL"
tensions_filter_data5,"Different racial and ethnic groups_SL"
tensions_filter_data6,"Different religious groups_SL"
tensions_filter_data7,"People with different sexual orientations_SL"
tensions_filter_group1,"All_SL"
tensions_filter_group2,"Lowest income quartile_SL"
tensions_filter_group3,"Highest income quartile_SL"
tensions_filter_group4,"People who are satisfied with democracy_SL"
tensions_filter_group5,"Age 18-34_SL"
tensions_filter_group6,"Age 35-64_SL"
tensions_filter_group7,"Age 65+_SL"
tensions_sortOptionDefault,"Alphabetically ascending _SL"
tensions_sortOption1,"By 2007 value descending_SL"
tensions_sortOption2,"By 2011 value descending_SL"
tensions_sortOption3,"By 2016 value descending_SL"
social-excl_legend1,"(%) - 2007_SL"
social-excl_legend2,"(%) - 2016_SL"
social-excl_filter_data1,"I feel left out of society _SL"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_SL"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_SL"
social-excl_filter_data4,"Some people look down on me because of my job situation_SL"
social-excl_filter_group1,"All_SL"
social-excl_filter_group2,"Lowest income quartile_SL"
social-excl_filter_group3,"Highest income quartile_SL"
social-excl_filter_group4,"Unemployed_SL"
social-excl_filter_group5,"Employed_SL"
social-excl_sortOptionDefault,"Alphabetically ascending _SL"
social-excl_sortOption1,"By 2007 value descending_SL"
social-excl_sortOption2,"By 2016 value descending_SL"
overall-improv_legend1,"Average rating on scale 1-10, 2011_SL"
overall-improv_legend2,"Average rating on scale 1-10, 2016_SL"
overall-improv_filter_group1,"Health services_SL"
overall-improv_filter_group2,"Education system_SL"
overall-improv_filter_group3,"Public transport_SL"
overall-improv_filter_group4,"Childcare services_SL"
overall-improv_filter_group5,"Long-term care services_SL"
overall-improv_filter_group6,"Social housing_SL"
overall-improv_filter_group7,"State pension system_SL"
overall-improv_sortOptionDefault,"Alphabetically ascending_SL"
overall-improv_sortOption1,"By 2011 value descending_SL"
overall-improv_sortOption2,"By 2016 value descending_SL"
liv-depr-optim_legend1,"Optimistic about own future - 2016_SL"
liv-depr-optim_legend2,"Optimistic about children's/grandchildren's future - 2016_SL"
