Key,"Value"
countryEU,"EU28_SR"
countryAT,"Austria_SR"
countryBE,"Belgium_SR"
countryBG,"Bulgaria_SR"
countryHR,"Croatia_SR"
countryCY,"Cyprus_SR"
countryCZ,"Czech Republic_SR"
countryDA,"Denmark_SR"
countryET,"Estonia_SR"
countryFI,"Finland_SR"
countryFR,"France_SR"
countryDE,"Germany_SR"
countryGR,"Greece_SR"
countryHU,"Hungary_SR"
countryIE,"Ireland_SR"
countryIT,"Italy_SR"
countryLV,"Latvia_SR"
countryLT,"Lithuania_SR"
countryLU,"Luxembourg_SR"
countryMT,"Malta_SR"
countryNL,"Netherlands_SR"
countryPL,"Poland_SR"
countryPT,"Portugal_SR"
countryRO,"Romania_SR"
countrySK,"Slovakia_SR"
countrySL,"Slovenia_SR"
countryES,"Spain_SR"
countrySE,"Sweden_SR"
countryUK,"United Kingdom_SR"
LabelFilters,"Filters:_SR"
LabelData,"Data:_SR"
LabelGroup,"Group:_SR"
LabelGender,"Gender:_SR"
LabelSort,"Sort:_SR"
happiness_legend1,"Average rating on scale (1-10), 2011_SR"
happiness_legend2,"Average rating on scale (1-10), 2016_SR"
happiness_legend3,"Average rating on scale (1-10), 2011_SR"
happiness_legend4,"Average rating on scale (1-10), 2016_SR"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_SR"
happiness_sortOption1,"Alphabetically ascending_SR"
happiness_sortOption2,"By Happiness 2016 descending_SR"
happiness_sortOption3,"By Life Satisfaction 2016 descending_SR"
optimism_legend1,"I am optimistic about my future (%) - 2016_SR"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_SR"
optimism_filter_group1,"All_SR"
optimism_filter_group2,"Lowest income quartile_SR"
optimism_filter_group3,"Unemployed_SR"
optimism_filter_group4,"Employed_SR"
optimism_filter_group5,"Age 18-34_SR"
optimism_filter_group6,"Age 35-64_SR"
optimism_filter_group7,"Age 65+_SR"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_SR"
optimism_sortOption1,"By own future 2016 descending_SR"
optimism_sortOption2,"By (grand)children's future 2016 descending_SR"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_SR"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_SR"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_SR"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_SR"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_SR"
work-life-balance_1_filter_group1,"All_SR"
work-life-balance_1_filter_group2,"Lowest income quartile_SR"
work-life-balance_1_filter_group3,"Age 18-64_SR"
work-life-balance_1_filter_gender1,"All_SR"
work-life-balance_1_filter_gender2,"Female_SR"
work-life-balance_1_filter_gender3,"Male_SR"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_SR"
work-life-balance_1_sortOption1,"By 2007 value descending_SR"
work-life-balance_1_sortOption2,"By 2016 value descending_SR"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_SR"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_SR"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_SR"
tensions_filter_data1,"Poor and rich_SR"
tensions_filter_data2,"Management and workers_SR"
tensions_filter_data3,"Men and women_SR"
tensions_filter_data4,"Old and young_SR"
tensions_filter_data5,"Different racial and ethnic groups_SR"
tensions_filter_data6,"Different religious groups_SR"
tensions_filter_data7,"People with different sexual orientations_SR"
