Key,"Value"
countryEU,"EU28_SV"
countryAT,"Austria_SV"
countryBE,"Belgium_SV"
countryBG,"Bulgaria_SV"
countryHR,"Croatia_SV"
countryCY,"Cyprus_SV"
countryCZ,"Czech Republic_SV"
countryDA,"Denmark_SV"
countryET,"Estonia_SV"
countryFI,"Finland_SV"
countryFR,"France_SV"
countryDE,"Germany_SV"
countryGR,"Greece_SV"
countryHU,"Hungary_SV"
countryIE,"Ireland_SV"
countryIT,"Italy_SV"
countryLV,"Latvia_SV"
countryLT,"Lithuania_SV"
countryLU,"Luxembourg_SV"
countryMT,"Malta_SV"
countryNL,"Netherlands_SV"
countryPL,"Poland_SV"
countryPT,"Portugal_SV"
countryRO,"Romania_SV"
countrySK,"Slovakia_SV"
countrySL,"Slovenia_SV"
countryES,"Spain_SV"
countrySE,"Sweden_SV"
countryUK,"United Kingdom_SV"
LabelFilters,"Filters:_SV"
LabelData,"Data:_SV"
LabelGroup,"Group:_SV"
LabelGender,"Gender:_SV"
LabelSort,"Sort:_SV"
happiness_legend1,"Average rating on scale (1-10), 2011_SV"
happiness_legend2,"Average rating on scale (1-10), 2016_SV"
happiness_legend3,"Average rating on scale (1-10), 2011_SV"
happiness_legend4,"Average rating on scale (1-10), 2016_SV"
happiness_sortOptionDefault,"Happiness and Life Satisfaction 2016 descending_SV"
happiness_sortOption1,"Alphabetically ascending_SV"
happiness_sortOption2,"By Happiness 2016 descending_SV"
happiness_sortOption3,"By Life Satisfaction 2016 descending_SV"
optimism_legend1,"I am optimistic about my future (%) - 2016_SV"
optimism_legend2,"I am optimistic about my children's/grandchildren's future (%) - 2016_SV"
optimism_filter_group1,"All_SV"
optimism_filter_group2,"Lowest income quartile_SV"
optimism_filter_group3,"Unemployed_SV"
optimism_filter_group4,"Employed_SV"
optimism_filter_group5,"Age 18-34_SV"
optimism_filter_group6,"Age 35-64_SV"
optimism_filter_group7,"Age 65+_SV"
optimism_sortOptionDefault,"Alphabetically ascending (A-Z, with EU28 first)_SV"
optimism_sortOption1,"By own future 2016 descending_SV"
optimism_sortOption2,"By (grand)children's future 2016 descending_SV"
work-life-balance_1_legend1,"At least several times a month (%) - 2007_SV"
work-life-balance_1_legend2,"At least several times a month (%) - 2016_SV"
work-life-balance_1_filter_data1,"Too tired from work to do household jobs_SV"
work-life-balance_1_filter_data2,"Difficulties to fulfil family responsibilities because of time spent at work_SV"
work-life-balance_1_filter_data3,"Difficulties to concentrate at work because of family responsibilities_SV"
work-life-balance_1_filter_group1,"All_SV"
work-life-balance_1_filter_group2,"Lowest income quartile_SV"
work-life-balance_1_filter_group3,"Age 18-64_SV"
work-life-balance_1_filter_gender1,"All_SV"
work-life-balance_1_filter_gender2,"Female_SV"
work-life-balance_1_filter_gender3,"Male_SV"
work-life-balance_1_sortOptionDefault,"Alphabetically ascending_SV"
work-life-balance_1_sortOption1,"By 2007 value descending_SV"
work-life-balance_1_sortOption2,"By 2016 value descending_SV"
tensions_legend1,"Perception of 'a lot' of tension (%) - 2007_SV"
tensions_legend2,"Perception of 'a lot' of tension (%) - 2011_SV"
tensions_legend3,"Perception of 'a lot' of tension (%) - 2016_SV"
tensions_filter_data1,"Poor and rich_SV"
tensions_filter_data2,"Management and workers_SV"
tensions_filter_data3,"Men and women_SV"
tensions_filter_data4,"Old and young_SV"
tensions_filter_data5,"Different racial and ethnic groups_SV"
tensions_filter_data6,"Different religious groups_SV"
tensions_filter_data7,"People with different sexual orientations_SV"
tensions_filter_group1,"All_SV"
tensions_filter_group2,"Lowest income quartile_SV"
tensions_filter_group3,"Highest income quartile_SV"
tensions_filter_group4,"People who are satisfied with democracy_SV"
tensions_filter_group5,"Age 18-34_SV"
tensions_filter_group6,"Age 35-64_SV"
tensions_filter_group7,"Age 65+_SV"
tensions_sortOptionDefault,"Alphabetically ascending _SV"
tensions_sortOption1,"By 2007 value descending_SV"
tensions_sortOption2,"By 2011 value descending_SV"
tensions_sortOption3,"By 2016 value descending_SV"
social-excl_legend1,"(%) - 2007_SV"
social-excl_legend2,"(%) - 2016_SV"
social-excl_filter_data1,"I feel left out of society _SV"
social-excl_filter_data2,"Life has become so complicated today that I almost can't find my way_SV"
social-excl_filter_data3,"I feel that the value of what I do is not recognised by others_SV"
social-excl_filter_data4,"Some people look down on me because of my job situation_SV"
social-excl_filter_group1,"All_SV"
social-excl_filter_group2,"Lowest income quartile_SV"
social-excl_filter_group3,"Highest income quartile_SV"
social-excl_filter_group4,"Unemployed_SV"
