Id,Author(s),Organisation,Organisation type,Title,Abstract,Description,Date,Type,Publication specifications,Platform sector,Platform name,Platform work typology,Country,Keywords,Language,Methodology,Availability,Link URL,Link Label
tmp-1,Accenture,Accenture,Publisher,People first: The primacy of people in a digital age',"Through interviews with industry experts and business leaders and an online crowdsourced contest to discover emerging technologies in which about 3,200 people participated, the Accenture Technology Vision 2016 identifies technology trends that Accenture considers essential to business success in the digital age, namely intelligent automation, liquid workforce, platform economy, predictable disruption and digital trust. The global digital economy accounted for 22% of the world's economy in 2015 and is forecasted to increase to 25% by 2020. This brings with it unprecedented change for customers' expectations of service as well as a new kind of employee with different expectations of how work should be organised. This requires a different way of looking at the business and its people.",,2016-01-01,Research publication; Case study-worker,"Accenture (2016), ‘People first: The primacy of people in a digital age’, Accenture
Technology Vision",no specific sector focus,,Online contestant specialist work,Other,challenges; client characteristics,English,Qualitative,Open access,https://www.accenture.com/us-en/insight-trends-insurance-technology-vision-2016-infographic,
tmp-2,"Acquier, A.; Daudigeos, T.; Pinkse, J.",Technological forecasting and social change,Publisher,Promises and paradoxes of the sharing economy: An organizing framework,"In this article, we take stock of the ambivalent and contested nature of the sharing economy. Considering the ‘sharing economy’ as an umbrella construct and an essentially contested concept, we position the sharing economy as resting on three foundational cores: (1) Access economy, (2) Platform economy, and (3) Community-based economy. We show how each core holds distinct promises and paradoxes. This organizing framework shows how combining the cores can help sharing-economy initiatives to navigate certain tensions, but can also lead to new ones. We highlight the paradoxical nature of the sharing economy and make a case for balanced initiatives that combine the promises of each core while mitigating contradictions. We conclude by introducing the nine articles of the special issue, connecting their contributions to our organizing framework.",,2017-01-01,Research publication,"Acquier, A., Daudigeos, T. and Pinkse, J. (2017), 'Promises and paradoxes of the sharing economy: An organizing framework,' Technological forecasting and social change 125 (December), pp. 1-10. ",no specific sector focus,,,Other,challenges,English,Qualitative,Subscription,https://doi.org/10.1016/j.techfore.2017.07.006,
tmp-3,"Adams, A.; Freedman, J.; Prassl, J.",Oxford Review of Economic Policy,Publisher,Rethinking legal taxonomies for the gig economy,"Both tax law and employment law incentivize engagers of labour to structure their workforce as a crowd of self-employed micro-entrepreneurs. Recent technological change and the rise of the gig economy have made it easier for agents to respond to these incentives, contributing to an increase in self-employment. In this article, we review the evidence on the rise of the gig economy in the UK and lay out a set of key principles to guide the reform of tax and employment law to better enable policy to meet its underlying objectives.",,2018-01-01,Research publication,"Adams, A., Freedman, J. and Prassl, J. (2018), 'Rethinking legal taxonomies for the gig economy', Oxford Review of Economic Policy 34(3), pp. 1-21. ",no specific sector focus,,,United Kingdom,challenges; employment status; legal issues,English,Qualitative,Subscription,https://doi.org/10.1093/oxrep/gry006,
tmp-4,"Agrawal, A.; Horton, J.; Lacetera, N.; Lyons, E. ",(NBER) National Bureau of Economic Research,Publisher,Digitization and the contract labor market: A research agenda,"Online contract labor globalizes traditionally local labor markets, with platforms that enable employers, most of whom are in high-income countries, to more easily outsource tasks to contractors, primarily located in low-income countries. This market is growing rapidly; we provide descriptive statistics from one of the leading platforms where the number of hours worked increased 55% from 2011 to 2012, with the 2012 total wage bill just over $360 million. We outline three lines of inquiry in this market setting that are central to the broader digitization research agenda: 1) How will the digitization of this market influence the distribution of economic activity (geographic distribution of work, income distribution, distribution of work across firm boundaries)?; 2) What is the magnitude and nature of information frictions in these digital market settings as reflected by user responses to market design features (allocation of visibility, investments in human capital acquisition, machine-aided recommendations)?; 3) How will the digitization of this market affect social welfare (increased efficiency in matching, production?)? We draw upon economic theory as well as evidence from empirical research on online contract labor markets and other related settings to motivate and contextualize this research agenda.",,2013-01-01,Research publication; Case study-platform,"Agrawal, A., Horton, J., Lacetera, N. and Lyons, E. (2013), Digitization and the contract labor market: A research agenda, working paper No. 19525, (NBER) National Bureau of Economic Research.  ",professional services,Upwork,Online client-determined specialist work,Other,worker demographics; client characteristics; rating; income,English,Qualitative,Subscription,http://doi.org/10.3386/w19525,
tmp-5,"Aguirre, F.; Janibekova, G.; Shamilov, T.; Otmani, I.; Ellis, R.",Willy Brandt School of Public Policy; ECIPE (European Centre for International Political Economy) ,Research institute,Extending social protections to workers in the sharing economy,"By 2016, 5% of Europeans have been providers of services in the sharing economy. Many workers in the sharing economy, like entrepreneurs in general, are in uncertain or disadvantaged situations and despite being prone to the same social risks as traditional workers, they are not entitled to the same social benefits. Regulations should take into consideration the particularities of this type of work in order to improve the possibility of social safeguards for these workers.",,2018-01-01,Other,"Aguirre, F., Janibekova, G., Shamilov, T., Otmani, I., Ellis, R. (2018), Extending social protections to workers in the sharing economy, Policy Brief February 2018, No. 1, Willy Brandt School of Public Policy and European Centre for International Political Economy (ECIPE), Erfurt, Germany.  ",no specific sector focus,,,EU28,challenges; social protection,English,,Open access,http://www.brandtschool.de/fileadmin/user_upload/Social_Security_Policy_Brief.pdf,
tmp-6,"Al-Ani, A.; Stumpp, S.",Internet Policy Review,Publisher,Rebalancing interests and power structures on crowdworking platforms,"Crowdwork on virtual platforms is developing into a recognisable employment and business model on the internet. Despite their many differences, the platforms that have emerged over the last few years have one thing in common: a crowd of individual producers and capabilities is mobilised – in the form of labour, accommodation or durable goods – onto the market in cooperation and competition with firms from traditional industries. This study analyses the factors crowdworkers consider relevant in their work and the measures they view as helpful in improving their working relationship with platforms. It is apparent that, in the best tradition of the peer economy, this new type of worker still considers learning and fun important factors for his or her engagement. Despite these effectively intrinsic factors, workers are quite aware of their situation, which does not put them on equal terms with the platform's algorithms and customer focus. This awareness of power disparities does not lead them, however, to reconsider their effectiveness when it comes to renegotiating terms with the platform: when specifically asked about the role of unions, the majority of crowdworkers did not expect help in self-organisation from these institutions. Considering the difficulties in regulating the market for platforms, (self-) organisation of crowdworkers, however, is an important prerequisite in rebalancing the power structure dominated by platform owners and their customers. Self-organisation is something digital natives are quite familiar with and we have to assume that crowdworkers are perhaps overconfident in their abilities. And due to the novelty of this industry, this confidence has not been shaken yet by labour disputes or even by growing dissatisfaction with platforms.",,2016-01-01,Research publication,"Al-Ani, A. and Stumpp, S. (2016), 'Rebalancing interests and power structures on crowdworking platforms,' Internet Policy Review, 5(2). ",no specific sector focus,,,Other,"challenges; representation, industrial relations, social dialogue",English,Qualitative,Subscription,https://doi.org/10.14763/2016.2.415,
tmp-7,"Alba, D.",Wired Business online,Publisher,NYC Uber drivers are organizing - just don't call it a union,"Uber and the International Association of Machinists and Aerospace Workers union jointly announced the formation of the association for New York City drivers in October 2016. Under a five-year agreement, The Independent Drivers Guild will represent the city's 35,000 or so Uber drivers, who do not need to do anything to formally join. The guild will operate as an affiliate of the union, which will represent drivers in meetings with Uber, most notably when drivers appeal Uber's decision to deactivate them. But the guild falls short of full union status itself. Guild members won’t be able to negotiate matters like pay, paid time off, health insurance, or workers’ compensation. But the affiliation does come with some perks. Through the Guild, Uber drivers will be able to access discounted legal services, life and disability insurance, education courses, and roadside assistance, as well as an online hub of driver assistance resources.",,2016-10-05,Research publication; Case study-worker,"Alba, D. (2016), 'NYC Uber drivers are organizing - just don't call it a union,' Wired Business online (5 October)",transport,Uber,On-location platform-determined routine work,United States,"conflict resolution; representation, industrial relations, social dialogue; legal issues",English,Qualitative,Open access,https://www.wired.com/2016/05/nyc-uber-drivers-organizing-just-dont-call-union/,
tmp-8,"Alkhatib, A.; Bernstein, M.; Levi, M.",CHI Conference on Human Factors in Computing Systems,Research institute,Examining crowd work and gig work through the historical lens of piecework,"The internet is empowering the rise of crowd work, gig work, and other forms of on–demand labor. A large and growing body of scholarship has attempted to predict the socio– technical outcomes of this shift, especially addressing three questions: 1) What are the complexity limits of on–demand work?, 2) How far can work be decomposed into smaller microtasks?, and 3) What will work and the place of work look like for workers? In this paper, we look to the historical scholarship on piecework — a similar trend of work decomposition, distribution, and payment that was popular at the turn of the 20th century — to understand how these questions might play out with modern on–demand work. We identify the mechanisms that enabled and limited piecework historically, and identify whether on–demand work faces the same pitfalls or might differentiate itself. This approach introduces theoretical grounding that can help address some of the most persistent questions in crowd work, and suggests design interventions that learn from history rather than repeat it.",,2017-01-01,Research publication,"Alkhatib, A., Bernstein, M. S. and Levi, M. (2017), ‘Examining crowd work and gig work
through the historical lens of piecework’, in Proceedings of the 2017 CHI Conference on
Human Factors in Computing Systems, pp. 4599–4616. 
",no specific sector focus,,Online moderately skilled click work; On-location platform-determined routine work; On-location client-determined moderately skilled work,Other,"representation, industrial relations, social dialogue; autonomy, flexibility and control; skills and skills development",English,Qualitative,Open access,http://dx.doi.org/10.1145/3025453.3025974,
tmp-9,"Allen, B.; Chandrasekaran, D.; Basuroy, S.",Journal of marketing,Publisher,"Design crowdsourcing: The impact on new product performance of sourcing design solutions from the ""crowd”","We examine an increasingly popular open innovation practice called 'design crowdsourcing', wherein firms seek external inputs in the form of functional design solutions for new product development from the 'crowd'. We investigate conditions under which managers crowdsource design and whether such decisions subsequently boost product sales. Our empirical analysis is guided by qualitative insights gathered from executive interviews. We use a novel dataset from a pioneering crowdsourcing firm and find that three concept design characteristics—perceived usability, reliability, and technical complexity—are associated with the decision to crowdsource design. We use an instrumental variable method accounting for the endogenous nature of crowdsourcing decisions to understand when such a decision affects downstream sales. We find that design crowdsourcing is positively related to unit sales and that this effect is moderated by the idea quality of the initial product concept. Using a change-score analysis of consumer ratings, we find that design crowdsourcing enhances perceived reliability and usability. We discuss the strategic implications of involving the crowd, beyond ideation, in helping transform ideas into effective products.",,2018-01-01,Research publication; Case study-platform,"Allen, B., Chandrasekaran, D. and Basuroy, S. (2018), 'Design crowdsourcing: The impact of new product performance of sourcing design solutions from the 'crowd', Journal of marketing 82(2), pp. 106-123. ",professional services,Quirky,Online contestant specialist work,United States; China; Italy; Israel; United Kingdom,client characteristics,English,Quantitative,Subscription,http://doi.org/10.1509/jm.15.0481,
tmp-10,"Aloisi, A. ",Labour & Law Issues,Publisher,Il lavoro “a chiamata” e le piattaforme online della collaborative economy: nozioni e tipi legali in cerca di tutele,"The paper, after giving an overview of recent labour trends in the digital economy, describes alternative working arrangements such as 'crowdworking' and 'work on-demand via platform'. The regulatory framework and the legal consequences of such innovative and non-standard forms of work are analysed in detail with emphasis on the improper classification of workers in the gig-economy. In the second section, the essay focuses on the recent Communication of the European Commission on Collaborative Economy that is aimed at establishing under which conditions an online platform should be considered a provider of the 'underlying services'. This focus is followed by an analysis of antitrust as well as labour law implications of Spanish, Italian and British rulings. The contribution explores the proposals on how to craft an intermediate category between employees and independent contractors. Workers in the on-demand economy have brought lawsuits alleging that the online platforms are misclassifying them as independent contractors, but the question remains still unsolved. Proponents recently advocated that a third category would be a good fit for digital platform work. Conversely, as far as Italy is concerned, the quasi-subordinate category created an opportunity for uncertainty and arbitrage resulting in the erosion of protection. The article describes the notion of the so called 'collaborazioni organizzate dal committente' (contractors whose performance is organised by the principal) as a tool to expand crowdworkers’ rights.Finally, the most recent Italian labour market reform could eventually provide a solution for the current disputes on how work in the gig-economy could be regulated. In fact, the scheme of 'collaborazioni organizzate dal committente' could represent a useful template, since it broadens the scope of the protections granted to standard employees. Italian: L’articolo offre un quadro delle più recenti tendenze del mercato del lavoro legate all’economia digitale. Sono passati in rassegna il crowd-employment e il lavoro a chiamata via piattaforma online, articolazioni flessibili della prestazione presso operatori digitali che facilitano l’incontro di domanda e offerta di lavoro. Al fine di inquadrare i servizi resi dalle piattaforme in una cornice legislativa nazionale e sovranazionale, si descrivono le prime iniziative regolatorie in materia (specificatamente, la Comunicazione sulla Collaborative Economy della Commissione Europea e la proposta di legge italiana sulla Sharing Economy). Si renderà conto della giurisprudenza che si è sviluppata nei confronti del servizio di mobilità condivisa Uber, analizzando in particolare il caso spagnolo, quello italiano e, da ultimo, quello britannico. Ci si rivolgerà con occhio critico all’armamentario lavoristico per valutarne l’eventuale obsolescenza ovvero apprezzarne l’attualità. Si descriveranno per sommi capi gli sviluppi dell’antico dibattito sulla necessità di attrezzare nuove categorie (ad esempio, un tertium genus tra lavoro autonomo e lavoro subordinato) per rispondere alle esigenze di un mercato in trasformazione. La pluridecennale esperienza italiana della parasubordinazione, pur nella sua “peculiare anomalia”, rappresenterà il metro di paragone: se ne tratteggerà l’evoluzione, per concentrare l’attenzione sul portato del comma 1 dell’art. 2 del d.lgs. 81/2015 (i.e. le collaborazioni organizzate dal committente). Infine, si avanzerà una proposta di disciplina della cosiddetta “gig-economy”, tentando una riconciliazione tra le formule contrattuali atipiche e l’apparato normativo vigente, con particolare riferimento agli innesti legislativi introdotti dal pacchetto del “Jobs Act”. In particolare, s’individuerà una buona soluzione di politica del diritto nel processo di estensione automatica degli effetti dello statuto protettivo tipico della subordinazione ai lavoratori economicamente o organizzativamente dipendenti.",,2016-01-01,Research publication,"Aloisi, A. (2016), 'Il lavoro ""a chiamata"" e le piattaforme online della collaborative economy: nozioni e tipi legali in cerca di tutele,' Labour & Law Issues 2(2). ",transport,Uber ,On-location platform-determined routine work,Spain; Italy; United Kingdom,legal issues; challenges; employment status,Italian,Qualitative,Subscription,http://doi.org/10.6092/issn.2421-2695/6490,
tmp-11,"Aloisi, A.",Comparative Labor Law & Policy Journal,Publisher,Commoditized workers: Case study research on labor law issues arising from a set of 'on-demand/gig economy' platforms,"In the framework of the so-called “sharing economy”, the number of on-demand companies matching labour supply and demand is on the rise. These schemes may enlarge opportunities for people willing to find a job or to top up their salaries. Despite the upsides of creating new peer marketplaces, these platforms may also be used to circumvent employment regulation, by operating informally in traditionally regulated markets. This paper will present a case study analysis of several “on-demand work” platforms, starting from the Amazon Mechanical Turk, one of the first schemes founded in 2005, which is arguably “employing humans-as-a-service”. After having signed up and worked within some platforms, I comment upon TaskRabbit (thousands people on the service who bid to do simple manual tasks), Handy and Wonolo (personal assistance at a local level), oDesk and Freelancer (online staffing), Uber and Lyft (peer-to-peer ridesharing), Airbnb (hosting service), InnoCentive (engineering solutions), Axiom (legal research or service), BitWine (consultancy). Finally I highlight downsides and upsides of work in these platforms by studying terms of service or participation agreements to which both parties have to agree.",,2015-01-01,Research publication; Case study-worker,"Aloisi, A. (2015), ‘Commoditized workers. Case study research on labour law issues arising
from a set of “on-demand/gig economy” platforms’, Comparative Labor Law & Policy
Journal, 37(3).",professional services; household tasks,Amazon Mechanical Turk; TaskRabbit; Handy; Wonolo; UpWork; Uber; Lyft; InnoCentive; Axiom,Online contestant specialist work; Online moderately skilled click work; Online client-determined specialist work; On-location client-determined moderately skilled work ,Other,"income; autonomy, flexibility and control; worker demographics; employment status",English,Qualitative,Subscription,http://dx.doi.org/10.2139/ssrn.2637485,
tmp-12,"Aloisi, A.; De Stefano, V.; Silberman, M.",Pagina99,Publisher,A manifesto to reform the gig economy,"This online article advances some improvement proposals for the 'gig economy', with a focus on pay and working conditions. The suggestions are addressed not only to the “masters of algorithms,” but also to lawmakers, labor unions and, crucially, to on-call workers.",,2017-01-01,Research publication,"Aloisi, A., De Stefano, V., Silberman, M. (2017), 'A manifesto to reform the gig economy,' Pagina99 (29 May).  ",household tasks; transport,Helpling; Foodora,On-location platform-determined routine work; On-location client-determined moderately skilled work,EU28,income; employment status; social protection ,English; Italian,Qualitative,Open access,http://www.pagina99.it/2017/05/29/a-manifesto-to-reform-the-gig-economy/,
tmp-13,"Alsos, K.; Jesnes, K.; Sletvold Øistad, B.; Nesheim, T.",Fafo (Institute for Labor and Welfare Research),Research institute,Når sjefen er en app (When the boss is an app),"Over the past few years, the so-called  platform economy, with Uber and Airbnb, has gained a foothold in Norway. Efficient and user-friendly technology has created excitement as well as concern. This report looks at the platform economy, focusing on work-related platforms. It investigates the number of digital platforms that exist in the Norwegian market, the number of people who work through platforms, the relationship between the platforms and the providers, and what implications digital communication of work has for health, environment and safety. It also looks at the extent to which businesses use digital platforms to source work. [tkrf]
Norwegian: På få år har den såkalte delings- eller plattformøkonomien, med Uber og Airbnb i spissen, fått fotfeste i Norge. Effektiv og brukervennlig teknologi har skapt begeistring så vel som bekymring. I denne rapporten ser vi nærmere på plattformøkonomien, med vekt på plattformer som formidler arbeidsoppdrag. Vi undersøker hvor mange digitale plattformer som finnes i det norske markedet, hvor mange som jobber via plattformer, relasjonen mellom plattformene og tilbyderne, og hvilke implikasjoner digital formidling av arbeid har for helse, miljø og sikkerhet. Vi ser også på i hvilken grad virksomheter bruker digitale plattformer for å sette ut oppdrag.",,2017-01-01,Research publication; Case study-worker,"Alsos, K. et al (2017), Når sjefen er en app (When the boss is an app), Fafo (Institute for Labor and Welfare Research), Oslo, Norway",accommodation; household tasks; professional services; transport,Uber; Airbnb,On-location platform-determined routine work; On-location client-determined moderately skilled work,Norway,worker demographics; client characteristics; health and safety,Norwegian,Qualitative; Quantitative,Open access,http://www.fafo.no/index.php/zoo-publikasjoner/fafo-rapporter/item/nar-sjefen-er-en-app-2,
tmp-14,"Altman, E.J.; Tuschman, M.L.",Harvard Business School,Research institute,"Platforms, open/user innovation, and ecosystems: A strategic leadership perspective","Platform, open/user innovation, and ecosystem strategies embrace and enable interactions with external entities. Firms pursuing these approaches conduct business and interact with environments differently than those pursuing traditional closed strategies. This paper considers these strategies together highlighting similarities and differences between platform, open/user innovation, and ecosystem strategies. We focus on managerial and organizational challenges for organizations pursuing these strategies and identify four institutional logic shifts associated with these strategic transitions: 1) increasing external focus, 2) moving to greater openness, 3) focusing on enabling interactions, and 4) adopting interaction-centric metrics. As mature incumbent organizations adopt these strategies, there may be tensions and multiple conflicting institutional logics. Additionally, we consider four strategic leadership topics and how they relate to platform, open/user innovation, and ecosystem strategies: 1) executive orientation and experience, 2) top management teams, 3) board-management relations, and 4) executive compensation. We discuss theoretical implications, and consider future directions and research opportunities.",,2017-01-01,Research publication,"Altman, E.J. and Tuschman, M.L. (2017), 'Platforms, open/user innovation, and ecosystems: A strategic leadership perspective', Advances in strategic management 37, Working paper 17-076, Harvard Business School.  ",professional services; transport; accommodation ,Threadless; IdeaStorm; Uber; Airbnb,On-location platform-determined routine work; Online contestant specialist work ,Other,work organisation; client characteristics,English,Qualitative,Subscription,http://dx.doi.org/10.2139/ssrn.2915213,
tmp-15,"Amar, N; Viossat, L.",Inspection Générale des Affaires Sociales,Government,"Les platformes collaboratives, l'emploi et la protection sociale","The report, released by the Office of the Inspector General for Social Affairs in France (IGAS), presents the first attempt in France to describe and analyze in detail the various social challenges related to collaborative platforms such as Uber, Airbnb and Leboncoin: labour, employment, vocational training, social security, health insurance, unemployment insurance. It includes recommendations which, if implemented, would foster the development of the sharing economy in France and better labour conditions and social protection of collaborative workers. The report is based on a review of academic literature in France and abroad as well as interviews with around 20 platforms operating in France and dozens of collaborative workers, domestic and international experts (OECD, ILO, EC), social partners and domestic government agencies and offices. The report describes the new, complex and rapidly growing ecosystem of collaborative platforms in France, with a total market estimated at €7 billion by the authors. It focuses on "" laborplatforms"" and ""collaborative platform workers"", which include: sharing platforms (Blablacar), organized services platforms (Uber), jobbing platforms (SuperMano), digital cooperatives (LaRuchequiditoui), marketplaces (Priceminister), freelance platforms (Hopwork) and crowdworking platforms (Foule Factory).",,2016-01-01,Research publication,"Amar, N. and Viossat, L.-C. (2016), Les platformes collaboratives, l’emploi et la protection
sociale, Rapport, Inspection Générale des Affaires Sociales, Paris, France",professional services; household tasks; transport,BlaBlacar; Uber; SuperMano; HopWork/Malt; FouleFactory,On-location platform-determined routine work; On-location client determined moderately skilled work; On-location client-determined higher-skilled work; On-location platform-determined higher-skilled work; Online moderately skilled click work,France,employment status; social protection ; taxation; challenges; skills and skills development,French,,Open access,http://www.igas.gouv.fr/spip.php?article551,
tmp-16,"Andreassen, A.",University of Oslo,Research institute,Human rights challenges posed by the fourth industrial revolution - The Uber case (Thesis),"The thesis analyses the way in which the fourth industrial revolution is affecting the right to work, rights at work and the right to social protection and the capacity of states to protect, respect and fulfil those rights. It offers a discussion of the gig economy from a human rights perspective focused on rights at work and an applied case-law analysis on the misclassification of drivers by Uber Technologies Inc.; with an appendix of Uber case-law. The paper takes Uber as a case study and analyses the benefits and challenges of their business model, expanding on the challenges posed by the classification of drivers as independent contractors. The case study analyses the national and international legislation relevant for employment contract law, with a special focus on social and economic rights. [tkrf]",,2017-01-01,Research publication; Case study-platform,"Andreassen, A. (2017), 'Human rights challenges posed by the fourth industrial revolution - The Uber case,' Thesis for the Faculty of Law: University of Oslo, Norway.",transport,Uber,On-location platform-determined routine work,Norway; United States; EU28 ,employment status; legal issues; social protection ,English,Qualitative,Open access,https://www.duo.uio.no/bitstream/handle/10852/60877/7001--HUMR5200.pdf?sequence=1,
tmp-17,"Animento, S.; Di Cesare, G.; Sica, C.",PROKLA: Zeitschrift für kritische Sozialwissenschaften,Publisher,Total eclipse of work? Neue Protestformen in der gig economy am Beispiel des Foodora Streiks in Turin,"Contemporary capitalism is characterized by the expansion of the digital economy, in which new forms of exploitation and of value creation are taking place. In particular, in the gig economy cheap labour is organized and managed via digital platforms. While new forms of protest are also spreading, there is a lack of research on the ways workers of this sector are organizing in order to face hyper-exploitation and precarity. We analyse the case of the Foodora workers in Turin, who have been organizing protests and a strike in the past months. While Italian unions are slow in facing the challenges brought by the transformation of work since the end of Fordism, these and other precarious workers have been developing innovative forms of protests, including a new form of strike, which is much more autonomous than the Fordist one. We highlight some aspects of the Foodora protest, in particular the re-appropriation of public space and the misuse of the means of production, which are turned into weapons against the employer. Finally, we look closer at the property of algorithms as a key issue for future struggles in the digital economy.",,2018-01-01,Research publication,"Animento, S., Di Cesare, G. and Sica, C. (2018), 'Total eclipse of work? Neue Protestformen in der gig economy am Beispiel des Foodora Streiks in Turin,' PROKLA: Zeitschrift für kritische Sozialwissenschaften 187(June). ",transport,Foodora,On-location platform-determined routine work,Italy,"representation, industrial relations, social dialogue; industrial action",German,Qualitative,Subscription,http://prokla.de.w018207c.kasserver.com/index.php/PROKLA/article/view/145,
tmp-18,"Arthurs, H. ",Oxford University Press: Oxford,Research institute,Labour law after labour,"Considerable evidence points to the diminished significance of 'labour' as an industrial and political movement, as a sociological descriptor, and as a distinct field of public policy. This prompts the question: what should labour law be for 'after labour'? The question is especially timely in the context of what Daniel Rogers has called 'the intellectual economy of catastrophe'. This Chapter explores three possible responses: that labour law should be viewed as a sub-field of constitutional and human rights law; that it should integrate workers into the structures of capitalism to ensure that they contribute to and benefit from its successes; and that it should maintain its historic function of mobilizing workers to defend their rights and interests, but should also encourage cooperation between workers' organizations and other social movements.",,2011-01-01,Research publication,"Arthurs, H. (2011), 'Labour law after labour', in Langille, B., and Davidov, G. (eds), The idea of labour law, Oxford University Press: Oxford. ",no specific sector focus,,,Other,challenges; legal issues; employment status,English,Qualitative,Subscription,http://dx.doi.org/10.1093/acprof:oso/9780199693610.003.0002,
tmp-19,"Audun, J.; Roslan, I.; Boyd, C.",Decision Support Systems,Publisher,A survey of trust and reputation systems for online service provision,"Trust and reputation systems represent a significant trend in decision support for Internet mediated service provision. The basic idea is to let parties rate each other, for example after the completion of a transaction, and use the aggregated ratings about a given party to derive a trust or reputation score, which can assist other parties in deciding whether or not to transact with that party in the future. A natural side effect is that it also provides an incentive for good behaviour, and therefore tends to have a positive effect on market quality. Reputation systems can be called collaborative sanctioning systems to reflect their collaborative nature, and are related to collaborative filtering systems. Reputation systems are already being used in successful commercial online applications. There is also a rapidly growing literature around trust and reputation systems, but unfortunately this activity is not very coherent. The purpose of this article is to give an overview of existing and proposed systems that can be used to derive measures of trust and reputation for Internet transactions, to analyse the current trends and developments in this area, and to propose a research agenda for trust and reputation systems.",,2007-01-01,Research publication,"Audun, J., Roslan, I., Boyd, C. (2007), 'A survey of trust and reputation systems for online service provision,' Decision Support Systems 43(2), pp. 618-644. ",no specific sector focus,,,Other,rating; information asymmetry,English,Qualitative,Subscription,http://doi.org/10.1016/j.dss.2005.05.019,
